CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2010
"Município";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"PRONTO SOCORRO TRAUMATO-ORTOPEDICO (ANTIGO)";"Total"
"240720 Macau";-;-;-;-;7;-;7;1;-;-;-;-;-;-;1;4;-;-;1;1;-;2;-;2;-;-;-;-;26
"240725 Major Sales";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"240730 Marcelino Vieira";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;5
"240740 Martins";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;7
"240750 Maxaranguape";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"240760 Messias Targino";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;4
"240770 Montanhas";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;5
"240780 Monte Alegre";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8;-;-;-;1;-;-;-;1;-;-;-;-;11
"240790 Monte das Gameleiras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;3
"240800 Mossoró";-;-;4;-;47;1;57;92;-;1;5;6;-;-;1;-;-;1;3;-;-;22;1;-;1;-;-;-;242
"240810 Natal";-;3;5;-;67;2;233;800;5;1;18;16;4;-;16;1;-;5;1;3;-;106;6;3;3;-;2;-;1300
"240820 Nísia Floresta";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;9;-;-;-;1;-;-;-;-;-;-;-;-;12
"240830 Nova Cruz";-;-;1;-;1;-;4;2;-;-;-;1;-;-;-;15;-;-;-;1;-;1;-;-;-;-;-;-;26
"240840 Olho-d'Água do Borges";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;3
"240850 Ouro Branco";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;5
"240860 Paraná";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"240870 Paraú";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2
"240880 Parazinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;4
"240890 Parelhas";-;-;1;-;4;-;2;8;-;-;-;-;-;-;1;11;-;-;-;1;-;1;1;2;-;-;-;-;32
"240325 Parnamirim";-;-;1;-;21;-;14;7;-;-;-;2;-;-;5;-;2;1;-;1;-;9;-;-;-;-;-;-;63
"240910 Passa e Fica";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;5;-;-;-;1;-;1;1;-;-;-;-;-;10
"240920 Passagem";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"240930 Patu";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;10
"240940 Pau dos Ferros";-;-;2;-;12;1;12;21;-;2;-;1;-;-;-;-;-;-;-;1;-;20;1;2;-;-;1;-;76
"240950 Pedra Grande";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;4
"240960 Pedra Preta";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"240970 Pedro Avelino";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;7
"240980 Pedro Velho";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;-;9
"240990 Pendências";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;4;-;-;-;1;-;1;-;1;-;-;-;-;10
"241000 Pilões";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;5
"241010 Poço Branco";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;8
"241020 Portalegre";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7;-;-;-;1;-;1;-;1;-;-;-;-;11
"241025 Porto do Mangue";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"241040 Pureza";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;6
"241050 Rafael Fernandes";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;5
"241060 Rafael Godeiro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;5
"241070 Riacho da Cruz";-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"241080 Riacho de Santana";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;1;-;-;-;-;6
"241090 Riachuelo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;4
"240895 Rio do Fogo";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;8
"241100 Rodolfo Fernandes";-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"241110 Ruy Barbosa";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;1;-;-;-;-;5
"241120 Santa Cruz";-;-;1;-;7;-;8;2;-;-;1;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;24
"240933 Santa Maria";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"241140 Santana do Matos";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;2;-;-;-;-;13
"241142 Santana do Seridó";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;5
"241150 Santo Antônio";-;-;1;-;3;-;1;1;-;-;-;1;-;-;-;7;-;-;-;1;-;-;-;-;-;-;-;-;15
"241160 São Bento do Norte";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5;-;-;-;1;-;1;-;1;-;-;-;-;9
"241170 São Bento do Trairí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"241180 São Fernando";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;4
"241190 São Francisco do Oeste";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"241200 São Gonçalo do Amarante";-;-;1;-;24;-;6;1;-;-;-;1;-;-;1;1;-;-;-;1;-;-;1;-;-;-;-;-;37
"241210 São João do Sabugi";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;8
"241220 São José de Mipibu";-;-;1;-;15;-;5;1;-;-;-;2;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;27
"241230 São José do Campestre";-;-;-;-;4;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;8
"241240 São José do Seridó";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;-;6
"241250 São Miguel";-;-;1;-;9;-;4;-;-;-;-;-;-;-;-;5;-;-;-;1;-;1;1;2;-;-;-;-;24
"241255 São Miguel do Gostoso";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;5
"241260 São Paulo do Potengi";-;-;1;-;2;-;1;1;-;-;-;1;-;-;1;8;-;-;-;1;-;3;-;-;-;-;-;-;19
"241270 São Pedro";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;6
"241280 São Rafael";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"241290 São Tomé";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;10
"241300 São Vicente";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;1;-;-;-;-;10
"241310 Senador Elói de Souza";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;5
"241320 Senador Georgino Avelino";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;5
"241030 Serra Caiada";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"241330 Serra de São Bento";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;3
"241335 Serra do Mel";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;4
"241340 Serra Negra do Norte";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;7;-;-;-;1;-;-;-;1;-;-;-;-;11
"241350 Serrinha";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;5
"241355 Serrinha dos Pintos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;1;-;-;-;-;5
"241360 Severiano Melo";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;6
"241370 Sítio Novo";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"241380 Taboleiro Grande";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"241390 Taipu";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;7
"241400 Tangará";-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;11
"241410 Tenente Ananias";-;-;-;-;2;-;1;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;7
"241415 Tenente Laurentino Cruz";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;1;-;-;-;-;9
"241105 Tibau";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;4
"241420 Tibau do Sul";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;6
"241430 Timbaúba dos Batistas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;3
"241440 Touros";-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;17;-;-;-;1;-;-;-;1;-;-;-;-;22
"241445 Triunfo Potiguar";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;4
"241450 Umarizal";-;-;-;-;9;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;12
"241460 Upanema";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;-;6
"241470 Várzea";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"241475 Venha-Ver";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;3
"241480 Vera Cruz";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;1;-;-;-;-;7
"241490 Viçosa";-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"241500 Vila Flor";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"250010 Água Branca";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;7
"250020 Aguiar";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"250030 Alagoa Grande";1;-;1;-;12;1;1;-;-;-;-;1;-;-;1;-;-;-;-;1;-;2;2;-;-;-;-;-;23
"250040 Alagoa Nova";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;12
"250050 Alagoinha";-;-;-;-;6;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;10
"250053 Alcantil";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"250057 Algodão de Jandaíra";-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"250060 Alhandra";-;-;1;-;7;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;11
"250073 Amparo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"250077 Aparecida";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;5
"250080 Araçagi";1;-;-;-;8;-;1;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;-;16
"250090 Arara";-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
"250100 Araruna";1;-;1;-;9;1;2;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;1;-;-;-;1;-;19
"250110 Areia";-;-;-;-;8;-;1;-;-;-;-;1;-;-;1;1;-;-;-;1;-;3;-;-;-;-;-;-;16
"250115 Areia de Baraúnas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"250120 Areial";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"250130 Aroeiras";1;-;1;-;8;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;13
"250135 Assunção";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"250140 Baía da Traição";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"250150 Bananeiras";-;-;1;-;9;-;2;1;-;-;-;1;-;-;1;-;-;-;-;1;-;1;-;-;-;-;1;-;18
"250153 Baraúna";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"250160 Barra de Santa Rosa";-;-;-;-;5;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;1;1;1;-;-;-;-;11
"250157 Barra de Santana";1;-;1;-;4;-;1;-;-;-;-;1;-;-;-;3;-;-;-;1;-;1;-;-;-;-;-;-;13
"250170 Barra de São Miguel";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"250180 Bayeux";-;-;1;-;28;1;4;3;-;1;-;1;-;-;3;-;-;-;-;1;-;2;2;-;-;-;1;-;48
"250190 Belém";-;-;1;-;7;-;2;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;15
"250200 Belém do Brejo do Cruz";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;7
"250205 Bernardino Batista";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;4
"250210 Boa Ventura";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;6
"250215 Boa Vista";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;5
"250220 Bom Jesus";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"250230 Bom Sucesso";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"250240 Bonito de Santa Fé";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;3;-;-;-;1;-;1;-;-;-;-;-;-;8
"250250 Boqueirão";-;-;1;-;8;1;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;1;1;-;-;-;-;-;15
"250270 Borborema";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"250280 Brejo do Cruz";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;10
"250290 Brejo dos Santos";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"250300 Caaporã";1;-;1;-;9;-;2;2;-;-;-;1;-;-;1;-;-;-;-;1;-;1;1;-;-;-;-;-;20
"250310 Cabaceiras";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"250320 Cabedelo";-;-;2;-;19;-;9;5;-;-;-;1;-;1;3;-;-;-;-;1;-;5;1;-;-;-;1;-;48
"250330 Cachoeira dos Índios";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;6
"250340 Cacimba de Areia";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;4
"250350 Cacimba de Dentro";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;5;-;-;-;1;-;-;-;-;-;-;-;-;9
"250355 Cacimbas";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"250360 Caiçara";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"250370 Cajazeiras";-;-;3;-;20;1;16;28;-;1;3;1;-;-;1;8;-;-;-;1;-;11;2;-;-;-;2;-;98
"250375 Cajazeirinhas";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;4
"250380 Caldas Brandão";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"250390 Camalaú";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;4
"250400 Campina Grande";-;-;5;-;78;1;69;217;1;1;5;10;3;-;12;7;-;2;-;1;-;75;2;2;3;-;3;-;497
"250403 Capim";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;4
"250407 Caraúbas";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"250410 Carrapateira";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"250415 Casserengue";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;5
"250420 Catingueira";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;6
"250430 Catolé do Rocha";-;-;1;-;10;1;3;6;-;-;-;2;-;-;-;5;-;-;-;1;-;4;1;-;-;-;-;-;34
"250435 Caturité";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;6
"250440 Conceição";-;-;1;-;7;2;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;15
"250450 Condado";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;6
"250460 Conde";1;-;1;-;9;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;-;-;-;-;-;17
"250470 Congo";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;6
"250480 Coremas";1;-;1;-;7;1;3;4;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;19
"250485 Coxixola";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;3
"250490 Cruz do Espírito Santo";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;9
"250500 Cubati";-;-;-;-;4;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;8
"250510 Cuité";1;-;1;-;14;-;3;1;-;-;-;1;-;-;1;-;-;-;-;1;-;1;2;-;-;-;1;-;27
"250523 Cuité de Mamanguape";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"250520 Cuitegi";1;-;-;-;2;-;1;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;9
"250527 Curral de Cima";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;8;-;-;-;1;-;-;1;-;-;-;-;-;12
"250530 Curral Velho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2
"250535 Damião";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;-;5
"250540 Desterro";-;-;-;-;3;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"250560 Diamante";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;5
"250570 Dona Inês";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;5;-;-;-;1;-;-;1;1;-;-;-;-;10
"250580 Duas Estradas";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4
"250590 Emas";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4
"250600 Esperança";1;-;1;-;12;-;4;9;-;1;-;2;-;-;1;9;-;-;-;1;-;4;1;-;-;-;-;-;46
"250610 Fagundes";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;7;-;-;-;1;-;-;1;-;-;-;-;-;11
"250620 Frei Martinho";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;1;-;-;1;-;10
"250625 Gado Bravo";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"250630 Guarabira";-;-;2;-;32;-;6;19;-;1;2;2;-;-;1;3;-;-;-;1;-;6;-;-;-;-;-;-;75
"250640 Gurinhém";1;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;11
"250650 Gurjão";-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;5
"250660 Ibiara";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;7
"250260 Igaracy";-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;3;-;-;-;1;-;-;1;-;-;-;-;-;8
"250670 Imaculada";-;-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;8
"250680 Ingá";-;-;1;-;7;-;-;-;-;-;-;1;-;-;1;2;-;-;-;1;-;1;-;-;-;-;-;-;14
"250690 Itabaiana";-;-;1;-;12;-;2;1;-;-;-;2;-;-;1;3;-;-;-;1;-;2;1;-;-;-;-;-;26
"250700 Itaporanga";-;-;1;-;2;1;2;1;-;-;-;1;-;-;-;10;-;-;-;1;-;5;-;-;-;-;-;-;24
"250710 Itapororoca";1;-;-;-;6;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;10
"250720 Itatuba";-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"250730 Jacaraú";-;-;-;-;6;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;9
"250740 Jericó";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;6
"250750 João Pessoa";-;-;6;-;199;2;244;682;3;7;28;15;1;1;6;2;-;5;-;3;-;58;1;-;4;-;-;-;1267
"251365 Joca Claudino";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;6
"250760 Juarez Távora";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;6
"250770 Juazeirinho";-;-;1;-;5;-;1;2;-;-;-;1;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;13
"250780 Junco do Seridó";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;6
"250790 Juripiranga";-;-;-;-;4;-;1;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;1;1;-;-;-;-;10
"250800 Juru";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;7
"250810 Lagoa";-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
