CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2016
"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"110080 Candeias do Jamari";-;-;-;-;-;-;-;5;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;1;-;-;-;-;-;14
"110090 Castanheiras";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;6
"110005 Cerejeiras";-;-;-;-;-;1;-;4;-;-;3;4;-;6;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;3;1;-;-;-;-;-;-;26
"110092 Chupinguaia";-;-;-;-;-;-;-;4;-;-;1;3;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;1;-;-;-;-;-;15
"110006 Colorado do Oeste";-;-;-;-;-;1;-;4;-;-;-;4;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;15
"110007 Corumbiara";-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;2;1;-;-;-;-;-;10
"110008 Costa Marques";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;7
"110094 Cujubim";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;2;-;1;-;-;9
"110009 Espigão D'Oeste";-;-;-;-;-;1;-;1;-;-;4;9;-;-;-;2;-;-;-;-;-;6;-;-;-;1;-;-;-;5;2;1;-;-;-;-;-;32
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;10
"110010 Guajará-Mirim";-;-;-;-;-;1;-;5;-;-;-;5;-;-;-;2;-;1;-;-;-;4;-;-;-;1;-;5;-;6;2;-;-;-;2;-;-;34
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;1;-;-;-;-;-;7
"110011 Jaru";-;-;-;-;-;1;-;12;-;-;9;51;-;-;-;3;-;-;-;-;-;1;-;-;-;1;-;3;-;11;1;-;-;-;-;-;-;93
"110012 Ji-Paraná";2;-;-;2;-;2;-;15;1;-;24;175;1;58;1;6;1;-;-;4;-;-;-;-;-;2;2;7;-;21;3;-;-;-;2;-;-;329
"110013 Machadinho D'Oeste";-;-;-;-;-;1;-;7;-;-;2;2;-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;2;-;-;-;-;21
"110120 Ministro Andreazza";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;6
"110130 Mirante da Serra";-;-;-;-;-;-;-;2;-;-;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;9
"110140 Monte Negro";-;-;-;-;-;-;-;6;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;12
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-;4;-;-;3;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;-;-;16
"110033 Nova Mamoré";-;-;-;-;-;1;-;3;-;-;2;1;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;2;2;-;-;-;-;-;-;15
"110143 Nova União";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;7
"110050 Novo Horizonte do Oeste";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;7
"110015 Ouro Preto do Oeste";-;-;-;-;-;1;-;4;-;-;14;7;-;1;-;4;-;-;-;-;-;9;-;-;-;1;-;-;-;9;1;-;-;-;-;-;-;51
"110145 Parecis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;6
"110018 Pimenta Bueno";-;-;-;-;-;1;-;3;-;-;5;40;-;29;-;2;-;-;1;2;-;6;-;-;-;2;-;-;-;9;5;-;-;-;-;-;-;105
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;4
"110020 Porto Velho";-;4;1;-;1;4;-;45;-;1;164;457;1;14;6;13;3;1;1;3;-;16;4;-;-;2;1;6;-;78;3;-;8;1;5;1;-;844
"110025 Presidente Médici";-;-;-;-;-;1;-;4;-;-;2;3;-;1;-;-;-;-;1;2;-;4;-;-;-;1;-;-;-;2;1;1;-;-;-;-;-;23
"110147 Primavera de Rondônia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"110026 Rio Crespo";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;5
"110028 Rolim de Moura";-;-;-;-;-;1;-;12;1;-;9;61;-;1;-;3;-;-;-;2;-;3;-;-;-;2;-;-;-;13;2;-;-;-;-;-;-;110
"110029 Santa Luzia D'Oeste";-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;3;-;-;-;-;-;-;10
"110148 São Felipe D'Oeste";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;-;-;-;-;-;7
"110149 São Francisco do Guaporé";1;-;-;-;-;-;-;5;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;4;1;-;-;-;-;-;-;16
"110032 São Miguel do Guaporé";-;-;-;-;-;-;-;3;-;-;1;4;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;15
"110150 Seringueiras";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;7
"110155 Teixeirópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;-;-;-;-;-;6
"110160 Theobroma";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;10
"110170 Urupá";-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;8
"110175 Vale do Anari";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;2;-;-;-;3;1;1;-;-;-;-;-;11
"110180 Vale do Paraíso";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;7
"110030 Vilhena";-;1;-;-;-;1;-;8;-;-;52;121;1;4;-;2;1;-;-;1;-;5;-;-;-;2;1;2;-;25;3;-;-;-;-;-;-;230
"120001 Acrelândia";-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;12
"120005 Assis Brasil";1;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;1;-;-;-;-;10
"120010 Brasiléia";-;-;-;-;1;1;-;8;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;2;-;1;-;-;-;-;20
"120013 Bujari";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;5
"120017 Capixaba";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;8
"120020 Cruzeiro do Sul";1;1;1;-;1;1;-;26;-;-;9;14;-;2;1;3;-;-;-;2;-;6;-;-;-;2;-;3;-;5;3;1;4;1;1;-;-;88
"120025 Epitaciolândia";-;-;-;-;-;1;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;12
"120030 Feijó";2;-;-;-;-;-;-;8;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;1;-;-;-;-;16
"120032 Jordão";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;5
"120033 Mâncio Lima";2;-;-;-;-;1;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2;-;1;1;-;1;-;-;-;-;15
"120034 Manoel Urbano";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;6
"120035 Marechal Thaumaturgo";1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;1;-;-;-;-;-;10
"120038 Plácido de Castro";-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;1;1;2;-;-;-;-;15
"120080 Porto Acre";3;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;10
"120039 Porto Walter";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;1;-;1;-;-;-;8
"120040 Rio Branco";5;3;1;-;1;1;-;87;-;-;38;274;-;5;4;5;-;-;1;8;-;-;4;-;-;3;-;2;-;27;3;-;11;-;1;1;-;485
"120042 Rodrigues Alves";2;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;1;-;-;-;-;10
"120043 Santa Rosa do Purus";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;1;1;-;-;-;-;-;7
"120050 Sena Madureira";3;-;-;-;-;-;-;15;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;4;1;-;1;-;-;-;1;29
"120045 Senador Guiomard";1;-;-;-;-;-;-;5;-;-;-;1;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;16
"120060 Tarauacá";-;-;-;-;-;-;-;8;-;-;3;1;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;2;1;-;1;1;-;-;-;22
"120070 Xapuri";-;-;-;-;-;-;-;6;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;1;-;-;-;-;14
"130002 Alvarães";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;7
"130006 Amaturá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;2;-;-;3;-;-;-;-;-;-;8
"130008 Anamã";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;5;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;12
"130010 Anori";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"130014 Apuí";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;10
"130020 Atalaia do Norte";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;10;-;-;3;-;-;-;-;-;-;18
"130030 Autazes";-;-;-;-;-;1;-;12;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;2;-;2;3;-;-;-;-;-;-;23
"130040 Barcelos";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;10;-;1;-;-;-;1;-;-;-;17
"130050 Barreirinha";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;5;-;-;-;-;-;-;-;-;-;16
"130060 Benjamin Constant";-;-;-;-;-;-;-;5;-;-;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;6;-;-;2;-;2;-;-;-;-;20
"130063 Beruri";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;5
"130068 Boa Vista do Ramos";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5
"130070 Boca do Acre";-;-;-;-;-;-;-;5;-;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;12
"130080 Borba";1;1;-;-;-;1;-;8;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;1;-;-;-;17
"130083 Caapiranga";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;7
"130090 Canutama";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"130100 Carauari";-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;1;-;1;1;-;-;-;-;-;-;11
"130110 Careiro";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;1;-;-;-;-;-;7;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;13
"130115 Careiro da Várzea";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;17
"130120 Coari";-;-;-;-;-;1;-;12;-;-;2;-;-;-;-;1;-;-;1;3;-;-;-;-;-;1;-;1;-;-;2;-;1;1;-;-;-;26
"130130 Codajás";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;7;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"130140 Eirunepé";-;-;-;-;-;1;-;4;-;-;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;12
"130150 Envira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;7
"130160 Fonte Boa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;3;1;2;-;-;-;-;10
"130165 Guajará";1;-;-;1;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;10
"130170 Humaitá";-;-;-;-;-;1;-;10;-;-;2;13;-;7;-;1;-;-;1;3;-;-;-;-;-;1;-;4;-;2;1;-;-;-;-;-;-;46
"130180 Ipixuna";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;8
"130185 Iranduba";-;-;-;-;-;1;-;17;-;-;1;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;23
"130190 Itacoatiara";-;1;-;-;-;1;-;15;-;-;4;3;-;-;-;1;-;-;1;6;-;-;-;-;-;1;-;1;-;3;1;-;2;-;-;-;-;40
"130195 Itamarati";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;4
"130200 Itapiranga";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;8
"130210 Japurá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;1;1;-;-;-;-;-;-;9
"130220 Juruá";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"130230 Jutaí";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;-;1;-;1;-;-;-;-;9
"130240 Lábrea";-;-;-;-;-;-;-;6;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;10
"130250 Manacapuru";-;1;-;-;-;2;-;14;-;-;1;4;-;1;-;1;-;-;1;3;-;4;-;-;-;1;-;-;-;1;-;-;2;-;-;-;-;36
"130255 Manaquiri";-;-;-;-;-;1;-;3;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;8
"130260 Manaus";-;2;1;-;-;4;-;228;-;1;230;595;32;3;20;20;2;-;1;36;-;18;9;-;1;7;7;2;-;109;3;-;48;5;9;1;2;1396
"130270 Manicoré";-;-;-;-;-;1;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;1;-;-;-;13
"130280 Maraã";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;1;-;-;2;-;-;-;-;1;-;12
"130290 Maués";-;1;-;-;-;1;-;8;-;-;2;1;-;2;-;-;-;-;-;-;-;10;-;-;-;1;-;5;-;-;1;1;-;-;-;-;-;33
"130300 Nhamundá";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;10;-;-;-;1;-;3;-;1;1;-;-;-;-;-;-;19
"130310 Nova Olinda do Norte";1;-;-;-;-;1;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;3;1;-;-;-;-;-;-;18
"130320 Novo Airão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"130330 Novo Aripuanã";-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;9
"130340 Parintins";-;1;-;-;-;1;-;15;-;-;3;4;-;1;-;2;-;-;-;2;-;-;-;-;-;1;-;3;-;3;3;-;-;-;-;-;-;39
"130350 Pauini";-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;1;-;-;-;10
"130353 Presidente Figueiredo";-;-;-;-;-;-;-;12;-;-;1;1;-;1;-;1;-;-;-;-;-;8;-;-;-;1;-;-;-;-;1;-;2;-;-;-;-;28
"130356 Rio Preto da Eva";-;-;-;-;-;2;-;9;-;-;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;18
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;2;-;1;1;-;-;-;-;-;-;8
"130370 Santo Antônio do Içá";-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;3;-;-;2;-;2;-;-;-;-;15
"130380 São Gabriel da Cachoeira";-;-;-;-;-;1;-;4;-;-;2;-;-;1;-;3;-;-;-;-;-;7;-;-;-;1;-;14;-;1;1;-;-;-;-;1;-;36
"130390 São Paulo de Olivença";-;-;-;-;-;1;-;6;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;4;-;1;2;-;2;-;-;-;-;19
"130395 São Sebastião do Uatumã";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;7
"130400 Silves";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;6;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;11
"130406 Tabatinga";-;1;1;-;-;-;-;7;-;-;3;-;-;-;1;1;-;-;-;1;-;-;1;-;-;1;-;5;-;1;-;-;2;-;-;-;-;25
"130410 Tapauá";-;-;-;1;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"130420 Tefé";-;1;-;-;-;1;-;8;1;-;4;8;-;1;1;1;-;1;-;1;-;5;-;-;-;1;-;2;-;3;1;-;-;-;1;1;-;42
"130423 Tonantins";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;-;1;-;2;1;-;-;-;12
"130426 Uarini";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;5
"130430 Urucará";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;1;-;1;1;-;-;-;-;-;-;10
"130440 Urucurituba";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;8
"140005 Alto Alegre";1;1;-;-;-;1;-;3;-;-;-;-;-;1;-;1;-;-;-;-;-;9;-;-;-;-;-;11;-;-;1;1;2;-;-;-;-;32
