CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2019
"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"110001 Alta Floresta D'Oeste";1;-;-;-;1;1;-;4;-;-;1;5;-;1;-;2;-;-;-;-;-;6;-;-;-;1;-;7;-;4;1;-;-;-;-;-;-;35
"110037 Alto Alegre dos Parecis";1;-;-;-;-;-;-;6;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;14
"110040 Alto Paraíso";-;-;-;-;-;-;-;4;-;-;2;3;-;1;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;4;1;-;-;-;-;-;-;19
"110034 Alvorada D'Oeste";-;-;-;-;-;-;-;6;-;-;1;11;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;22
"110002 Ariquemes";-;1;1;2;1;1;-;13;-;-;36;32;-;2;1;8;-;-;-;1;-;-;1;-;-;2;1;-;-;11;4;-;6;-;-;-;-;124
"110045 Buritis";-;-;-;-;-;1;-;5;-;-;1;9;-;2;-;3;-;-;-;1;-;-;-;-;-;1;-;-;-;5;3;-;2;-;-;-;-;33
"110003 Cabixi";1;-;-;1;-;-;-;3;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;11
"110060 Cacaulândia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;6
"110004 Cacoal";-;-;-;-;1;1;-;11;-;-;43;207;-;42;-;7;-;-;-;5;-;1;-;-;1;2;2;11;-;17;2;-;-;-;2;-;-;355
"110070 Campo Novo de Rondônia";-;-;-;-;-;-;-;4;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;2;-;-;-;-;13
"110080 Candeias do Jamari";-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;5;-;-;-;1;-;-;-;3;2;1;-;-;-;-;-;14
"110090 Castanheiras";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;6
"110005 Cerejeiras";-;-;-;-;-;1;-;3;-;-;3;4;-;1;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;4;1;-;-;-;-;-;-;22
"110092 Chupinguaia";-;-;-;1;-;-;-;4;-;-;1;6;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;2;2;1;-;-;-;-;-;21
"110006 Colorado do Oeste";-;-;-;-;-;1;-;4;-;-;1;10;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;22
"110007 Corumbiara";-;-;-;-;1;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;4;-;-;-;1;-;1;-;-;2;1;-;-;-;-;-;13
"110008 Costa Marques";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;-;-;-;-;-;8
"110094 Cujubim";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;2;-;2;-;1;-;-;12
"110009 Espigão D'Oeste";-;-;-;-;1;1;-;2;-;-;5;12;-;-;-;3;-;-;-;-;-;8;-;-;-;1;-;6;-;4;2;-;-;-;-;-;-;45
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;2;1;1;-;-;-;-;-;12
"110010 Guajará-Mirim";-;-;-;-;1;1;-;6;-;-;-;14;-;-;-;2;-;-;-;-;-;4;-;-;-;1;-;5;-;5;2;-;-;-;1;-;1;43
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;2;-;-;-;-;-;-;10
"110011 Jaru";1;1;-;-;-;1;-;9;-;-;13;54;-;23;-;2;-;-;1;-;-;3;-;-;-;1;-;3;-;12;4;-;-;-;-;-;-;128
"110012 Ji-Paraná";2;1;-;-;1;2;1;15;-;-;33;243;1;68;1;4;-;-;-;4;1;-;-;-;-;1;2;7;-;32;7;-;-;-;2;-;-;428
"110013 Machadinho D'Oeste";-;-;-;-;1;1;-;7;-;-;2;5;-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;2;-;2;-;-;-;-;29
"110120 Ministro Andreazza";-;-;-;-;-;-;-;2;-;-;-;3;-;1;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;1;1;-;-;1;-;-;13
"110130 Mirante da Serra";-;-;-;-;-;-;-;2;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;-;-;-;-;-;10
"110140 Monte Negro";-;-;-;-;-;-;-;5;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;10
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-;2;-;-;3;7;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;1;-;-;-;-;-;-;19
"110033 Nova Mamoré";-;-;-;-;-;1;-;3;-;-;3;2;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;2;2;-;-;-;-;-;-;17
"110143 Nova União";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;6
"110050 Novo Horizonte do Oeste";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;7
"110015 Ouro Preto do Oeste";-;1;-;-;-;1;-;5;-;-;18;14;-;2;-;4;-;-;-;-;-;11;-;-;-;1;-;-;-;10;2;-;-;-;-;-;-;69
"110145 Parecis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;6
"110018 Pimenta Bueno";-;1;-;-;-;1;-;6;-;-;9;80;-;4;-;2;-;-;1;2;-;1;-;-;-;1;-;-;-;9;6;-;-;-;-;-;-;123
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;5
"110020 Porto Velho";-;2;1;-;2;4;-;44;-;1;63;487;2;41;5;11;2;1;2;4;-;17;4;-;-;18;1;5;-;43;4;-;8;1;5;-;-;778
"110025 Presidente Médici";-;-;-;-;-;1;-;6;-;-;2;6;-;2;-;-;-;-;1;2;-;3;-;-;-;1;-;-;-;3;1;1;-;-;-;-;1;30
"110147 Primavera de Rondônia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"110026 Rio Crespo";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;5
"110028 Rolim de Moura";-;1;-;-;1;1;-;8;-;-;9;71;-;1;-;3;-;-;-;4;-;3;-;-;-;2;-;-;-;18;2;-;-;-;-;-;1;125
"110029 Santa Luzia D'Oeste";-;1;-;-;-;-;-;2;-;-;-;1;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;2;3;-;-;-;-;-;-;13
"110148 São Felipe D'Oeste";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;-;-;-;-;-;7
"110149 São Francisco do Guaporé";1;-;-;-;-;-;-;6;-;-;-;3;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;1;-;-;-;-;-;-;18
"110032 São Miguel do Guaporé";-;-;-;-;-;-;-;2;-;-;2;8;-;1;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;3;2;-;-;-;-;-;-;23
"110150 Seringueiras";1;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;-;-;-;-;-;-;11
"110155 Teixeirópolis";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;6
"110160 Theobroma";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;1;2;-;-;-;-;-;-;10
"110170 Urupá";-;-;-;-;-;-;-;3;-;-;-;2;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;11
"110175 Vale do Anari";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;3;2;1;-;-;-;-;-;11
"110180 Vale do Paraíso";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;1;-;-;-;-;-;7
"110030 Vilhena";-;1;-;-;-;1;-;7;-;-;53;182;-;5;-;2;-;-;-;1;1;5;-;-;-;2;2;2;-;35;3;-;-;-;1;-;-;303
"120001 Acrelândia";1;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;11
"120005 Assis Brasil";2;-;-;-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;1;-;-;-;-;11
"120010 Brasiléia";-;-;-;-;1;1;-;10;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;2;-;1;-;-;-;-;21
"120013 Bujari";1;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;9
"120017 Capixaba";-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;10
"120020 Cruzeiro do Sul";1;1;1;-;1;1;-;27;-;-;10;18;-;2;2;3;-;-;-;2;-;8;1;-;-;2;-;3;-;7;6;1;4;1;2;-;1;105
"120025 Epitaciolândia";-;-;-;-;-;1;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;12
"120030 Feijó";2;-;-;-;-;-;-;8;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;1;-;-;-;-;16
"120032 Jordão";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;7
"120033 Mâncio Lima";2;-;-;-;-;1;-;7;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;2;-;2;1;-;1;-;-;-;1;20
"120034 Manoel Urbano";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;1;1;-;-;-;-;9
"120035 Marechal Thaumaturgo";1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;1;-;-;1;-;-;11
"120038 Plácido de Castro";1;-;-;-;-;-;-;7;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;2;1;2;-;-;-;-;17
"120080 Porto Acre";3;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;11
"120039 Porto Walter";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;1;-;1;-;-;1;-;-;11
"120040 Rio Branco";4;3;1;-;1;2;-;65;-;2;44;326;-;4;4;5;1;-;1;8;-;-;4;-;-;2;1;2;-;30;4;-;11;-;1;1;-;527
"120042 Rodrigues Alves";2;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;1;1;-;1;-;-;14
"120043 Santa Rosa do Purus";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;1;1;-;-;-;-;-;7
"120050 Sena Madureira";3;-;-;-;-;1;-;17;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;5;2;-;1;-;-;-;1;35
"120045 Senador Guiomard";1;-;-;-;-;-;-;9;-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;19
"120060 Tarauacá";-;-;-;-;-;-;-;8;-;-;3;-;-;1;-;1;-;-;-;-;-;4;-;-;-;1;-;1;-;2;1;-;1;1;-;-;-;24
"120070 Xapuri";-;-;-;-;-;-;-;5;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;1;-;-;-;-;13
"130002 Alvarães";1;-;-;-;-;-;-;4;-;-;1;-;-;-;-;1;-;-;1;-;-;2;-;-;-;1;-;1;-;-;1;-;-;-;-;1;-;14
"130006 Amaturá";-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;3;-;-;-;1;-;3;-;1;3;-;-;-;-;-;-;14
"130008 Anamã";-;-;-;-;-;-;-;1;-;-;-;2;-;4;-;1;-;-;-;1;-;5;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;16
"130010 Anori";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;7
"130014 Apuí";-;-;-;-;-;1;-;4;-;-;-;-;-;-;-;1;-;-;1;-;-;3;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;13
"130020 Atalaia do Norte";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;10;-;-;3;-;-;-;-;-;-;18
"130030 Autazes";-;-;-;-;-;1;-;12;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;2;-;2;3;-;-;-;-;-;-;24
"130040 Barcelos";-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;15;-;1;2;-;-;1;-;-;-;25
"130050 Barreirinha";-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;5;-;-;1;-;-;1;-;-;-;21
"130060 Benjamin Constant";-;-;-;-;-;-;-;5;-;-;2;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;6;-;-;2;-;2;-;2;-;-;22
"130063 Beruri";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;-;2;-;-;-;-;-;-;7
"130068 Boa Vista do Ramos";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;6
"130070 Boca do Acre";-;-;-;-;-;-;-;5;-;-;1;2;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;1;-;1;1;-;-;1;-;-;-;15
"130080 Borba";1;-;-;-;-;1;-;8;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;14
"130083 Caapiranga";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;8
"130090 Canutama";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"130100 Carauari";-;-;-;-;-;1;-;6;-;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;1;-;2;2;-;-;1;-;-;-;18
"130110 Careiro";-;-;-;-;-;-;-;5;-;1;-;-;-;1;-;1;-;-;-;-;-;8;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;19
"130115 Careiro da Várzea";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;15;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;19
"130120 Coari";-;-;-;-;-;1;-;14;-;-;2;-;-;-;-;1;-;-;1;5;-;-;-;-;-;1;-;1;-;-;2;-;1;1;-;1;-;31
"130130 Codajás";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;8;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;13
"130140 Eirunepé";1;-;-;-;-;1;-;4;-;-;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;13
"130150 Envira";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;7
"130160 Fonte Boa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;3;1;1;1;-;-;-;10
"130165 Guajará";1;-;-;1;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;12
"130170 Humaitá";-;1;-;-;-;1;-;12;-;-;4;8;-;1;-;1;-;-;1;4;-;-;-;-;-;1;-;4;-;-;2;-;-;1;-;-;-;41
"130180 Ipixuna";-;-;-;-;-;1;-;2;-;-;-;-;-;1;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;11
"130185 Iranduba";-;-;-;-;-;1;-;18;-;-;2;2;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;-;-;1;-;-;-;31
"130190 Itacoatiara";-;-;-;-;-;1;-;15;-;-;5;6;1;-;-;1;-;-;1;2;-;-;1;-;-;1;-;-;-;1;1;-;2;-;-;-;-;38
"130195 Itamarati";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;1;-;1;-;-;-;8
"130200 Itapiranga";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;1;-;-;-;9
"130210 Japurá";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;-;-;-;9
"130220 Juruá";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;5
"130230 Jutaí";-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;2;-;1;1;-;2;-;-;-;-;12
"130240 Lábrea";-;-;-;-;-;-;-;6;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;15;-;1;-;-;-;1;-;-;-;27
"130250 Manacapuru";1;-;-;-;-;2;-;15;-;-;-;2;-;1;-;1;-;-;1;2;-;4;-;-;-;1;-;-;-;-;-;-;2;1;-;-;-;33
"130255 Manaquiri";-;-;-;-;-;1;-;3;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;1;-;-;-;11
"130260 Manaus";-;2;4;-;1;4;-;170;-;2;146;654;31;2;19;19;4;-;2;49;-;18;13;-;-;8;5;3;-;59;4;-;87;11;4;1;2;1324
"130270 Manicoré";-;-;-;-;-;1;-;7;-;-;2;1;-;3;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;18
"130280 Maraã";-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;10
"130290 Maués";1;-;-;-;-;1;-;7;-;-;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;5;-;1;1;1;-;1;-;-;-;24
"130300 Nhamundá";-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;1;-;-;-;-;-;4;-;-;-;1;-;3;-;1;1;-;-;1;1;-;-;16
"130310 Nova Olinda do Norte";1;-;-;-;-;1;-;7;-;-;-;-;-;1;-;1;-;-;-;-;-;4;-;-;-;1;-;1;-;3;2;-;-;-;-;-;-;22
"130320 Novo Airão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"130330 Novo Aripuanã";-;-;-;-;-;1;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;1;-;-;-;11
"130340 Parintins";-;1;-;-;1;1;-;15;-;-;5;9;-;1;-;2;-;-;-;2;-;-;-;-;-;1;-;3;-;7;3;-;-;1;-;1;-;53
"130350 Pauini";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;1;-;1;-;-;-;10
"130353 Presidente Figueiredo";-;-;-;-;-;-;-;14;-;-;1;8;-;1;-;1;-;-;-;1;-;8;-;-;-;1;-;-;-;-;1;-;2;-;-;-;-;38
"130356 Rio Preto da Eva";-;-;-;1;-;2;-;9;-;-;1;2;-;1;-;1;-;-;-;1;-;2;-;-;-;1;-;1;-;-;1;-;1;-;-;-;-;24
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;-;-;3;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;20;-;-;1;-;-;1;-;-;-;28
"130370 Santo Antônio do Içá";-;-;-;-;-;-;-;7;-;-;-;1;-;-;-;2;-;-;2;1;-;-;-;-;-;1;-;2;-;-;2;-;2;1;-;-;-;21
"130380 São Gabriel da Cachoeira";-;-;-;-;-;1;-;4;-;-;2;1;-;1;-;1;-;-;-;-;-;7;-;-;-;2;-;24;-;1;2;2;-;-;-;1;1;50
"130390 São Paulo de Olivença";-;-;-;-;-;1;-;6;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;4;-;1;2;-;2;1;-;-;-;20
"130395 São Sebastião do Uatumã";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;8
"130400 Silves";-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;12
"130406 Tabatinga";-;1;1;-;-;-;-;7;-;-;4;-;-;1;1;1;-;-;-;1;-;-;1;-;-;1;-;6;-;1;-;-;2;1;-;1;-;30
"130410 Tapauá";-;-;-;-;-;1;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;5;-;-;1;-;-;1;-;1;-;17
"130420 Tefé";-;1;-;-;-;1;-;10;-;-;4;10;-;2;1;1;-;1;-;1;-;1;-;-;-;1;-;3;-;2;1;-;-;1;1;1;-;43
"130423 Tonantins";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;-;1;-;2;1;-;-;-;12
"130426 Uarini";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;5
"130430 Urucará";-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;-;-;-;10
"130440 Urucurituba";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;10
"140005 Alto Alegre";1;-;-;-;-;1;-;4;-;-;1;-;-;1;-;1;-;-;-;-;-;4;-;-;-;1;-;29;-;-;1;1;2;-;-;-;-;47
"140002 Amajari";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;27;-;-;2;-;1;-;1;-;-;40
"140010 Boa Vista";1;1;1;-;1;3;-;41;-;1;127;151;-;1;2;5;-;1;3;-;-;2;1;-;-;2;-;19;-;22;6;-;8;-;-;1;1;401
"140015 Bonfim";1;-;-;-;-;1;-;6;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;14;-;-;3;-;1;-;-;-;-;28
"140017 Cantá";-;-;-;-;-;1;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;1;-;1;-;-;2;-;1;-;1;-;-;24
"140020 Caracaraí";-;1;-;-;-;1;-;8;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;3;-;-;2;1;1;-;-;-;-;22
"140023 Caroebe";-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;1;1;-;-;-;-;9
"140028 Iracema";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;-;1;1;1;-;-;-;1;11
"140030 Mucajaí";-;-;-;-;-;1;-;5;-;-;2;-;-;1;-;1;-;-;-;-;-;5;-;-;-;1;-;2;-;-;3;-;1;-;-;-;-;22
"140040 Normandia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;1;-;1;-;-;7
"140045 Pacaraima";1;-;-;-;-;1;-;1;-;-;1;-;-;1;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;-;3;-;1;-;-;-;-;15
"140047 Rorainópolis";6;-;-;-;-;1;-;11;-;-;3;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;2;3;1;1;1;1;-;-;33
