CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2018
"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE ATENCAO EM REGIME RESIDENCIAL";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"110001 Alta Floresta D'Oeste";1;-;-;-;1;1;-;4;-;1;4;-;1;-;2;-;-;-;-;-;6;-;-;-;2;-;7;-;4;-;-;-;-;-;-;-;34
"110037 Alto Alegre dos Parecis";1;-;-;-;-;-;-;6;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;12
"110040 Alto Paraíso";-;-;-;-;-;-;-;5;-;1;3;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;4;1;-;-;-;-;-;-;18
"110034 Alvorada D'Oeste";-;-;-;-;-;-;-;4;-;-;8;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;3;1;1;-;-;-;-;-;21
"110002 Ariquemes";-;1;1;1;1;1;-;13;-;34;24;-;2;1;9;-;-;-;1;-;-;1;-;-;2;1;-;-;13;4;-;6;-;-;-;-;116
"110045 Buritis";-;-;-;-;-;1;-;5;-;1;9;-;2;-;3;-;-;-;1;-;-;-;-;-;1;-;-;-;7;3;-;2;-;-;-;-;35
"110003 Cabixi";1;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;10
"110060 Cacaulândia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;5
"110004 Cacoal";-;-;-;-;1;1;-;11;-;38;184;-;41;-;8;-;-;-;5;-;1;-;-;1;2;2;11;-;15;2;-;-;-;2;-;-;325
"110070 Campo Novo de Rondônia";-;-;-;-;-;-;-;4;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;1;2;-;1;-;-;14
"110080 Candeias do Jamari";-;-;-;-;-;-;-;5;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;1;-;-;-;-;-;14
"110090 Castanheiras";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;6
"110005 Cerejeiras";-;-;-;-;-;1;-;4;-;4;4;-;5;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;4;1;-;-;-;-;-;-;27
"110092 Chupinguaia";-;-;-;1;-;-;-;4;-;1;4;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;1;-;-;-;-;-;17
"110006 Colorado do Oeste";-;-;-;-;-;1;-;4;-;1;6;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;3;1;-;-;-;-;-;-;20
"110007 Corumbiara";-;-;-;-;2;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;2;1;-;-;-;-;-;11
"110008 Costa Marques";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;7
"110094 Cujubim";-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;2;-;2;-;1;-;-;12
"110009 Espigão D'Oeste";-;-;-;-;1;1;-;2;-;5;11;-;-;-;3;-;-;-;-;-;8;-;-;-;1;-;6;-;4;2;-;-;-;-;-;-;44
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;2;1;1;-;-;-;-;-;12
"110010 Guajará-Mirim";-;-;-;-;1;1;-;5;-;-;12;-;-;-;2;-;-;-;-;-;4;-;-;-;1;-;5;-;7;2;-;-;-;1;-;1;42
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;2;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;-;-;8
"110011 Jaru";1;1;-;-;-;1;-;10;-;12;59;-;23;-;3;-;-;1;-;-;2;-;-;-;1;-;3;-;9;3;-;-;-;-;-;-;129
"110012 Ji-Paraná";2;1;-;-;1;2;-;15;-;27;219;1;66;1;4;1;-;-;4;1;-;-;-;-;1;2;7;-;28;7;-;-;-;2;-;-;392
"110013 Machadinho D'Oeste";-;-;-;-;1;1;-;7;-;2;5;-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;4;2;-;2;-;-;-;-;28
"110120 Ministro Andreazza";-;-;-;-;-;-;-;2;-;-;1;-;1;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;10
"110130 Mirante da Serra";-;-;-;-;-;-;-;2;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;-;-;-;-;-;10
"110140 Monte Negro";-;-;-;-;-;-;-;5;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;-;-;12
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-;3;-;3;8;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5;1;-;-;-;-;-;-;22
"110033 Nova Mamoré";-;-;-;-;-;1;-;3;-;3;1;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;2;2;-;-;-;-;-;-;16
"110143 Nova União";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;6
"110050 Novo Horizonte do Oeste";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;6
"110015 Ouro Preto do Oeste";-;1;-;-;-;1;-;3;-;14;10;-;2;-;4;-;-;-;-;-;13;-;-;-;1;-;-;-;9;2;-;-;-;-;-;-;60
"110145 Parecis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;5
"110018 Pimenta Bueno";-;1;-;-;-;1;-;6;-;9;48;-;28;-;2;-;-;1;2;-;1;-;-;-;2;-;-;-;9;6;-;-;-;-;-;-;116
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;5
"110020 Porto Velho";-;4;1;-;2;4;-;45;1;171;410;2;19;5;11;3;1;1;3;-;14;4;-;-;2;1;5;-;84;4;-;8;1;6;-;-;812
"110025 Presidente Médici";-;-;-;-;-;1;-;6;-;1;5;-;2;-;-;-;-;1;2;-;3;-;-;-;1;-;-;-;3;1;1;-;-;-;-;1;28
"110147 Primavera de Rondônia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"110026 Rio Crespo";-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;5
"110028 Rolim de Moura";-;1;-;-;1;1;-;8;-;9;68;-;1;-;3;-;-;-;4;-;3;-;-;-;1;-;-;-;16;2;-;-;-;-;-;1;119
"110029 Santa Luzia D'Oeste";-;-;-;-;-;-;-;2;-;1;1;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;3;-;-;-;-;-;-;11
"110148 São Felipe D'Oeste";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;-;-;-;-;-;7
"110149 São Francisco do Guaporé";1;-;-;-;-;-;-;6;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;4;1;-;-;-;-;-;-;18
"110032 São Miguel do Guaporé";-;-;-;-;-;-;-;3;-;2;7;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;3;2;-;-;-;-;-;-;21
"110150 Seringueiras";1;-;-;-;-;-;-;3;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;9
"110155 Teixeirópolis";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;5
"110160 Theobroma";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;2;1;-;-;-;-;-;10
"110170 Urupá";-;-;-;-;-;-;-;3;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;10
"110175 Vale do Anari";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;2;-;-;-;3;2;1;-;-;-;-;-;12
"110180 Vale do Paraíso";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;-;-;6
"110030 Vilhena";-;1;-;-;-;1;-;7;-;48;164;1;4;-;2;1;-;1;-;1;6;-;-;-;1;2;2;-;30;3;-;1;-;-;-;-;276
"120001 Acrelândia";1;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;1;-;-;-;1;-;1;1;-;-;-;-;13
"120005 Assis Brasil";2;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;1;-;-;-;-;11
"120010 Brasiléia";-;-;-;-;1;1;-;8;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3;2;-;1;-;-;-;-;19
"120013 Bujari";1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;8
"120017 Capixaba";-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;9
"120020 Cruzeiro do Sul";1;1;1;-;1;1;-;26;-;8;14;-;1;2;2;-;-;-;2;-;7;-;-;-;2;-;3;-;7;5;1;4;1;1;-;-;91
"120025 Epitaciolândia";-;-;-;-;-;1;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;12
"120030 Feijó";2;-;-;-;-;-;-;8;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;1;-;-;-;-;16
"120032 Jordão";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;1;-;-;8
"120033 Mâncio Lima";2;-;-;-;-;1;-;7;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;2;-;2;1;-;1;-;-;-;1;20
"120034 Manoel Urbano";1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;6
"120035 Marechal Thaumaturgo";1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;1;-;-;1;-;-;11
"120038 Plácido de Castro";-;-;-;-;-;-;-;7;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;1;-;-;-;-;1;1;2;-;-;-;-;15
"120080 Porto Acre";3;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;11
"120039 Porto Walter";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;-;-;1;-;-;9
"120040 Rio Branco";4;3;1;-;1;2;-;92;1;41;273;-;4;4;4;-;-;1;8;-;-;4;-;-;3;1;2;-;29;4;-;11;-;1;1;-;495
"120042 Rodrigues Alves";2;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;1;-;1;-;-;13
"120043 Santa Rosa do Purus";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;1;1;-;-;-;-;-;7
"120050 Sena Madureira";3;-;-;-;-;1;-;17;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;5;2;-;1;-;-;-;1;35
"120045 Senador Guiomard";1;-;-;-;-;-;-;9;-;-;-;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;19
"120060 Tarauacá";-;-;-;-;-;-;-;8;-;2;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;2;1;-;1;1;-;-;-;20
"120070 Xapuri";-;-;-;-;-;-;-;5;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;1;-;-;-;-;13
"130002 Alvarães";1;-;-;-;-;-;-;4;-;1;-;-;-;-;1;-;-;1;-;-;2;-;-;-;1;-;1;-;-;1;-;-;-;-;1;-;14
"130006 Amaturá";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;3;-;-;-;1;-;3;-;-;3;-;-;-;-;-;-;12
"130008 Anamã";-;-;-;-;-;-;-;1;-;-;2;-;4;-;1;-;-;-;-;-;4;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;15
"130010 Anori";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;5
"130014 Apuí";-;-;-;-;-;1;-;4;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;11
"130020 Atalaia do Norte";-;-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;10;-;-;3;-;-;-;-;-;-;18
"130030 Autazes";-;-;-;-;-;1;-;12;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;2;-;2;3;-;-;-;-;-;-;23
"130040 Barcelos";-;-;-;-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;15;-;1;2;-;-;1;-;-;-;25
"130050 Barreirinha";-;-;-;-;-;-;-;5;-;-;1;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;5;-;-;1;-;-;1;-;-;-;20
"130060 Benjamin Constant";-;-;-;-;-;-;-;5;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;6;-;-;2;-;2;-;-;-;-;19
"130063 Beruri";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;-;2;-;-;-;-;-;-;7
"130068 Boa Vista do Ramos";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;6
"130070 Boca do Acre";-;-;-;-;-;-;-;5;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;-;-;-;13
"130080 Borba";1;1;-;-;-;1;-;8;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;3;-;-;-;-;-;1;-;-;-;17
"130083 Caapiranga";-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;8
"130090 Canutama";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"130100 Carauari";-;-;-;-;-;-;-;6;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;1;-;1;2;-;-;-;-;-;-;15
"130110 Careiro";-;-;-;-;-;-;-;3;1;-;-;-;-;-;1;-;-;-;-;-;7;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;15
"130115 Careiro da Várzea";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;14;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;17
"130120 Coari";-;-;-;-;-;1;-;13;-;2;-;-;-;-;1;-;-;1;4;-;-;-;-;-;1;-;1;-;-;2;-;1;2;-;1;-;30
"130130 Codajás";-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;8;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;13
"130140 Eirunepé";1;-;-;-;-;1;-;4;-;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;13
"130150 Envira";-;-;-;-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;7
"130160 Fonte Boa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;-;3;1;2;-;-;-;-;10
"130165 Guajará";1;-;-;1;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;10
"130170 Humaitá";-;1;-;-;-;1;-;12;-;2;16;-;7;-;1;-;-;1;4;-;-;-;-;-;1;-;4;-;2;1;-;-;1;-;-;-;54
"130180 Ipixuna";-;-;-;-;-;1;-;2;-;-;-;-;1;-;1;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;11
"130185 Iranduba";-;-;-;-;-;1;-;17;-;1;2;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;-;-;-;-;26
"130190 Itacoatiara";-;1;-;-;-;1;-;15;-;5;6;1;-;-;1;-;-;1;6;-;-;1;-;-;1;-;1;-;3;1;-;2;-;-;-;-;46
"130195 Itamarati";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;2;1;-;1;-;-;-;7
"130200 Itapiranga";-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;8
"130210 Japurá";-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;-;-;-;-;-;9
"130220 Juruá";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;5
"130230 Jutaí";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;2;-;1;1;-;1;-;-;-;-;10
"130240 Lábrea";-;-;-;-;-;-;-;6;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;15;-;1;-;-;-;1;-;-;-;27
"130250 Manacapuru";1;1;-;-;-;2;-;15;-;-;1;-;-;-;1;-;-;1;2;-;4;-;-;-;1;-;-;-;-;-;-;2;1;-;-;-;32
"130255 Manaquiri";-;-;-;-;-;1;-;3;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;9
"130260 Manaus";-;2;4;-;1;4;-;211;2;184;608;37;1;19;21;3;-;2;53;-;18;13;-;-;8;7;3;-;79;4;-;86;11;5;1;2;1389
"130270 Manicoré";-;-;-;-;-;1;-;7;-;1;-;-;3;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;17
"130280 Maraã";-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;1;-;-;2;-;-;-;-;1;-;13
"130290 Maués";-;1;-;-;-;1;-;8;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;5;-;-;1;1;-;1;-;-;-;23
"130300 Nhamundá";-;-;-;-;-;-;-;2;-;-;-;-;1;-;1;-;-;-;-;-;4;-;-;-;1;-;3;-;1;1;-;-;-;1;-;-;15
"130310 Nova Olinda do Norte";1;-;-;-;-;1;-;6;-;-;-;-;1;-;1;-;-;-;-;-;4;-;-;-;1;-;1;-;3;2;-;-;-;-;-;-;21
"130320 Novo Airão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"130330 Novo Aripuanã";-;-;-;-;-;1;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;1;-;-;-;11
"130340 Parintins";-;1;-;-;1;1;-;15;-;3;9;-;-;-;2;-;-;-;2;-;-;-;-;-;1;-;3;-;8;3;-;-;1;-;1;-;51
"130350 Pauini";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;1;-;1;-;-;-;10
"130353 Presidente Figueiredo";-;-;-;-;-;-;-;14;-;1;7;-;1;-;1;-;-;-;1;-;8;-;-;-;1;-;-;-;-;1;-;2;-;-;-;-;37
"130356 Rio Preto da Eva";-;-;-;-;-;2;-;10;-;1;1;-;1;-;1;-;-;-;-;-;2;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;21
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;4;-;-;1;-;-;-;1;-;-;10
"130370 Santo Antônio do Içá";-;-;-;-;-;-;-;6;-;-;1;-;-;-;2;-;-;2;1;-;-;-;-;-;1;-;2;-;-;2;-;2;1;-;-;-;20
"130380 São Gabriel da Cachoeira";-;-;-;-;-;1;-;4;-;2;-;-;-;-;1;-;-;-;-;-;7;-;-;-;1;-;7;-;1;1;2;-;-;-;1;1;29
"130390 São Paulo de Olivença";-;-;-;-;-;1;-;6;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;4;-;1;2;1;2;1;-;-;-;20
"130395 São Sebastião do Uatumã";-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;7
"130400 Silves";-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;5;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;12
"130406 Tabatinga";-;1;1;-;-;-;-;7;-;3;-;-;-;1;1;-;-;-;-;-;-;1;-;-;1;-;6;-;1;-;-;2;1;-;1;-;27
"130410 Tapauá";-;-;-;1;-;1;-;6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;5;-;1;1;-;-;-;-;1;-;18
"130420 Tefé";-;2;-;-;-;1;1;9;-;5;10;-;2;1;1;-;1;-;1;-;2;-;-;-;1;-;3;-;3;1;-;-;1;1;1;-;47
"130423 Tonantins";-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;1;-;-;1;-;2;1;-;-;-;12
"130426 Uarini";-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;5
"130430 Urucará";-;-;-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;9
"130440 Urucurituba";-;-;-;-;-;-;-;2;-;-;-;-;-;-;2;-;-;-;-;-;3;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;10
"140005 Alto Alegre";1;-;-;-;-;1;-;4;-;1;-;-;1;-;1;-;-;-;-;-;4;-;-;-;1;-;29;-;-;1;1;2;-;-;-;-;47
"140002 Amajari";1;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;26;-;-;2;-;1;-;1;-;-;39
"140010 Boa Vista";1;1;1;-;1;3;-;42;1;102;146;-;1;2;4;-;1;3;-;-;2;1;-;-;4;-;20;-;21;7;-;8;-;-;1;1;374
"140015 Bonfim";1;-;-;-;-;1;-;6;-;-;-;-;1;-;1;-;-;-;-;-;4;-;-;-;1;-;11;-;-;3;-;1;-;-;-;-;30
"140017 Cantá";-;-;-;-;-;1;-;5;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;1;-;6;-;-;2;-;1;-;1;-;-;31
"140020 Caracaraí";-;-;-;-;-;1;-;8;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;2;-;3;-;-;2;1;1;-;-;-;-;22
"140023 Caroebe";-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;1;1;1;-;-;-;-;9
"140028 Iracema";1;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;-;-;1;1;1;-;-;-;1;12
"140030 Mucajaí";-;-;-;-;-;1;-;5;-;2;-;-;1;-;1;-;-;-;-;-;5;-;-;-;1;-;2;-;-;3;-;1;-;-;-;-;22
"140040 Normandia";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;86;-;-;1;1;1;-;1;-;-;96
"140045 Pacaraima";1;-;-;-;-;1;-;1;-;1;-;-;-;-;1;-;-;-;-;-;4;-;-;-;1;-;46;-;-;3;-;1;-;-;-;-;60
"140047 Rorainópolis";6;-;-;-;-;1;-;12;-;2;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;2;3;1;1;1;1;-;-;33
"140050 São João da Baliza";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;3;1;1;-;-;-;-;11
"140060 São Luiz";1;-;-;-;-;-;-;1;-;1;1;-;-;-;1;-;-;-;-;-;2;-;-;-;1;-;1;-;-;3;-;1;-;-;-;-;13
"140070 Uiramutã";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;74;-;-;2;-;1;-;-;-;-;83
"150010 Abaetetuba";1;1;-;-;1;2;-;20;-;11;18;-;1;-;5;-;-;1;3;-;27;1;-;-;1;-;-;-;10;2;-;1;2;2;-;1;111
