CNES - Estabelecimentos por Tipo - Brasil
Quantidade por Município e Tipo de Estabelecimento
Período:Dez/2011
"Município";"ACADEMIA DA SAÚDE";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA-CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL-CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA - LACEN";"POLICLINICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE-HOSP-URGENCIA/EMERGENCI";"UNIDADE MOVEL FLUVIAL";"UNIDADE MOVEL TERRESTRE";"PRONTO SOCORRO TRAUMATO-ORTOPEDICO (ANTIGO)";"Total"
"220272 Cocal dos Alves";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;3
"220273 Coivaras";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"220275 Colônia do Gurguéia";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4
"220277 Colônia do Piauí";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;6
"220280 Conceição do Canindé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;5
"220285 Coronel José Dias";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;4
"220290 Corrente";-;-;-;-;-;14;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;19
"220300 Cristalândia do Piauí";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;7
"220310 Cristino Castro";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;7
"220320 Curimatá";-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;8
"220323 Currais";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;5
"220327 Curral Novo do Piauí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"220325 Curralinhos";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"220330 Demerval Lobão";-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"220335 Dirceu Arcoverde";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;4
"220340 Dom Expedito Lopes";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;7
"220345 Dom Inocêncio";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"220342 Domingos Mourão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;3
"220350 Elesbão Veloso";-;-;-;-;-;6;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;10
"220360 Eliseu Martins";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;3
"220370 Esperantina";-;-;-;-;-;18;-;4;4;-;-;-;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;30
"220375 Fartura do Piauí";-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"220380 Flores do Piauí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;4
"220385 Floresta do Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;2
"220390 Floriano";-;-;-;1;-;27;-;39;24;-;-;1;3;-;-;-;-;-;-;-;1;-;3;-;-;1;-;-;-;100
"220400 Francinópolis";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;7
"220410 Francisco Ayres";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;5
"220415 Francisco Macedo";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"220420 Francisco Santos";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;7
"220430 Fronteiras";-;-;-;-;-;7;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;10
"220435 Geminiano";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;7
"220440 Gilbués";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;3
"220450 Guadalupe";-;-;-;1;-;5;-;2;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;1;-;-;-;-;12
"220455 Guaribas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2
"220460 Hugo Napoleão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;1;-;-;1;-;-;-;-;-;7
"220465 Ilha Grande";-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;8
"220470 Inhuma";-;-;-;-;-;6;-;3;1;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;15
"220480 Ipiranga do Piauí";-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;1;-;-;-;-;13
"220490 Isaías Coelho";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"220500 Itainópolis";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;3;-;-;-;1;-;1;-;1;-;-;-;-;8
"220510 Itaueira";-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;8
"220515 Jacobina do Piauí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"220520 Jaicós";-;-;-;-;-;7;-;2;1;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;14
"220525 Jardim do Mulato";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;6
"220527 Jatobá do Piauí";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;6
"220530 Jerumenha";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;8
"220535 João Costa";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"220540 Joaquim Pires";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;5;-;-;-;1;-;-;-;1;-;-;-;-;9
"220545 Joca Marques";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;4
"220550 José de Freitas";-;-;-;1;-;9;-;3;-;-;-;-;1;-;-;1;9;-;-;-;1;-;1;-;-;-;-;-;-;26
"220551 Juazeiro do Piauí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"220552 Júlio Borges";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;5
"220553 Jurema";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"220555 Lagoa Alegre";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;6
"220557 Lagoa de São Francisco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;4
"220556 Lagoa do Barro do Piauí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;6
"220558 Lagoa do Piauí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"220559 Lagoa do Sítio";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;1;-;-;-;-;-;10
"220554 Lagoinha do Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;3
"220560 Landri Sales";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;4
"220570 Luís Correia";-;-;-;1;-;9;-;1;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;16
"220580 Luzilândia";-;-;-;1;-;11;-;1;3;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;19
"220585 Madeiro";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;3
"220590 Manoel Emídio";-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;7
"220595 Marcolândia";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"220600 Marcos Parente";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;4
"220605 Massapê do Piauí";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;8
"220610 Matias Olímpio";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;5
"220620 Miguel Alves";-;-;-;1;-;7;1;2;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;1;1;-;-;-;-;19
"220630 Miguel Leão";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"220635 Milton Brandão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;-;-;-;-;-;-;-;7
"220640 Monsenhor Gil";-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;1;3;-;-;-;1;-;-;-;1;-;-;-;-;11
"220650 Monsenhor Hipólito";-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;8
"220660 Monte Alegre do Piauí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;5
"220665 Morro Cabeça no Tempo";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;4
"220667 Morro do Chapéu do Piauí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"220669 Murici dos Portelas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;3
"220670 Nazaré do Piauí";-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;7
"220672 Nazária";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"220675 Nossa Senhora de Nazaré";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"220680 Nossa Senhora dos Remédios";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"220795 Nova Santa Rita";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2
"220690 Novo Oriente do Piauí";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;1;1;-;-;-;-;10
"220695 Novo Santo Antônio";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;3
"220700 Oeiras";-;1;-;1;-;12;-;6;13;-;-;-;3;-;-;-;9;-;-;-;1;-;8;-;-;-;-;-;-;54
"220710 Olho D'Água do Piauí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;4
"220720 Padre Marcos";-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;8
"220730 Paes Landim";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;3
"220735 Pajeú do Piauí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;4
"220740 Palmeira do Piauí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;6
"220750 Palmeirais";-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;10
"220755 Paquetá";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;6
"220760 Parnaguá";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;8
"220770 Parnaíba";-;-;-;2;-;30;1;26;36;1;-;-;7;1;-;5;1;-;-;1;1;-;23;-;-;-;-;-;-;135
"220775 Passagem Franca do Piauí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"220777 Patos do Piauí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"220779 Pau D'Arco do Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;3
"220780 Paulistana";-;-;-;1;-;7;-;2;1;-;-;-;4;-;-;-;1;-;-;-;1;-;4;1;-;-;-;-;-;22
"220785 Pavussu";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"220790 Pedro II";-;-;-;1;-;1;-;1;5;-;-;-;2;-;-;-;16;-;-;-;1;-;2;-;-;-;-;-;-;29
"220793 Pedro Laurentino";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"220800 Picos";-;-;-;1;-;28;2;37;29;-;-;1;7;1;-;2;13;-;-;-;-;-;29;1;-;-;-;-;-;151
"220810 Pimenteiras";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6;-;-;-;1;-;1;-;1;-;-;-;-;10
"220820 Pio IX";-;-;-;1;-;6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"220830 Piracuruca";-;-;-;1;-;10;1;-;-;-;-;1;1;-;-;1;-;-;-;1;-;-;3;1;-;-;-;-;-;20
"220840 Piripiri";-;1;-;2;-;24;1;6;4;-;1;-;1;-;-;1;3;-;-;-;-;-;11;2;-;1;-;1;-;59
"220850 Porto";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5;-;-;-;1;-;-;-;-;-;-;-;-;7
"220855 Porto Alegre do Piauí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;3
"220860 Prata do Piauí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"220865 Queimada Nova";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"220870 Redenção do Gurguéia";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;-;-;-;7
"220880 Regeneração";-;-;-;1;-;1;-;1;-;-;-;-;1;-;-;-;9;-;-;-;1;-;-;-;-;-;-;-;-;14
"220885 Riacho Frio";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3
"220887 Ribeira do Piauí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;3
"220890 Ribeiro Gonçalves";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;1;-;-;-;1;-;-;-;-;7
"220900 Rio Grande do Piauí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;3
"220910 Santa Cruz do Piauí";-;-;-;-;-;2;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"220915 Santa Cruz dos Milagres";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"220920 Santa Filomena";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2
"220930 Santa Luz";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;5
"220937 Santa Rosa do Piauí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"220935 Santana do Piauí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;5
"220940 Santo Antônio de Lisboa";-;-;-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;8
"220945 Santo Antônio dos Milagres";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;6
"220950 Santo Inácio do Piauí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;4
"220955 São Braz do Piauí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"220960 São Félix do Piauí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;4
"220965 São Francisco de Assis do Piauí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;5
"220970 São Francisco do Piauí";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;6
"220975 São Gonçalo do Gurguéia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2
"220980 São Gonçalo do Piauí";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"220985 São João da Canabrava";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;6
"220987 São João da Fronteira";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"220990 São João da Serra";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;1;-;-;-;-;5
"220995 São João da Varjota";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;4
"220997 São João do Arraial";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;5
"221000 São João do Piauí";-;-;-;1;-;3;1;2;3;-;-;1;1;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;15
"221005 São José do Divino";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"221010 São José do Peixe";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;5
"221020 São José do Piauí";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;-;8
"221030 São Julião";-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;5
"221035 São Lourenço do Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"221037 São Luis do Piauí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;4
"221038 São Miguel da Baixa Grande";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;3
"221039 São Miguel do Fidalgo";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"221040 São Miguel do Tapuio";-;-;-;1;-;8;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;12
"221050 São Pedro do Piauí";-;-;-;1;-;8;-;1;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;1;-;15
"221060 São Raimundo Nonato";-;-;-;1;-;7;1;2;1;-;-;-;4;-;-;-;4;-;-;-;-;-;4;1;-;-;-;-;-;25
"221062 Sebastião Barros";-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;-;-;-;-;-;7
"221063 Sebastião Leal";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"221065 Sigefredo Pacheco";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;6
"221070 Simões";-;1;-;-;-;-;-;1;-;-;-;-;2;-;-;-;6;-;-;-;-;-;1;-;1;-;-;-;-;12
"221080 Simplício Mendes";-;1;-;1;-;4;1;1;3;-;-;-;1;-;-;-;5;-;-;-;1;-;-;1;-;-;-;1;-;20
"221090 Socorro do Piauí";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"221093 Sussuapara";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;6
"221095 Tamboril do Piauí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"221097 Tanque do Piauí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;3
"221100 Teresina";6;-;1;7;-;85;3;133;338;3;1;17;21;1;1;19;4;-;-;3;3;-;119;1;5;1;-;1;-;773
"221110 União";-;-;-;1;-;15;-;2;-;-;-;-;1;-;-;1;5;-;-;-;1;-;-;-;-;-;-;-;-;26
"221120 Uruçuí";-;-;-;1;-;5;1;4;3;-;-;-;1;-;-;-;3;-;-;-;1;-;2;-;-;-;-;-;-;21
"221130 Valença do Piauí";-;-;-;1;-;9;-;6;2;-;-;-;1;-;-;-;12;-;-;-;1;-;3;-;-;-;-;-;-;35
"221135 Várzea Branca";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"221140 Várzea Grande";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;5
"221150 Vera Mendes";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"221160 Vila Nova do Piauí";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;5
"221170 Wall Ferraz";-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;7
"230010 Abaiara";-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"230015 Acarape";-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;8
"230020 Acaraú";-;1;-;1;-;18;1;7;3;-;-;-;1;-;-;-;1;-;-;-;2;-;2;-;-;-;-;-;-;37
"230030 Acopiara";-;1;-;1;-;21;1;1;2;-;1;-;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;32
"230040 Aiuaba";-;1;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;2;-;-;-;-;-;12
"230050 Alcântaras";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;8
"230060 Altaneira";-;-;-;-;-;5;-;1;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;9
"230070 Alto Santo";-;-;-;-;-;6;-;2;2;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;12
"230075 Amontada";-;1;-;1;-;8;1;1;1;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;17
"230080 Antonina do Norte";-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;6
"230090 Apuiarés";-;-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;3;-;-;-;1;-;-;1;-;-;-;-;-;11
"230100 Aquiraz";-;-;-;1;-;22;-;3;-;-;2;-;1;-;-;1;-;-;-;-;1;1;1;-;-;-;-;-;-;33
"230110 Aracati";-;-;-;2;-;16;-;11;20;-;1;-;3;1;-;1;-;-;-;-;2;-;2;-;-;-;-;-;-;59
"230120 Aracoiaba";-;1;-;-;-;10;-;-;-;-;-;-;1;-;-;-;6;-;-;-;1;-;-;1;-;-;-;-;-;20
"230125 Ararendá";-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;6
