CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Município e Ocupações de Nível Superior
Período:Dez/2014
"Município";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"130060 Benjamin Constant";2;2;-;7;18;-;-;-;6;-;5;-;1;-;-;-;-;1;42
"130063 Beruri";-;-;-;3;11;-;-;-;4;1;3;-;-;-;-;-;-;1;23
"130068 Boa Vista do Ramos";1;-;-;1;9;-;-;-;10;1;2;-;1;-;-;-;-;-;25
"130070 Boca do Acre";2;2;2;5;19;5;1;1;6;1;11;1;1;-;1;-;-;1;59
"130080 Borba";6;3;1;3;23;1;-;1;8;2;12;1;1;1;1;-;-;1;65
"130083 Caapiranga";2;2;-;-;6;2;-;-;3;1;4;1;1;-;-;-;-;-;22
"130090 Canutama";-;-;-;2;7;1;-;-;4;-;2;-;-;-;-;-;-;-;16
"130100 Carauari";1;-;-;3;8;2;-;-;1;-;2;1;-;-;-;-;-;-;18
"130110 Careiro";2;1;-;4;20;2;1;1;9;2;5;1;2;-;-;-;-;-;50
"130115 Careiro da Várzea";1;-;-;1;6;1;-;-;5;1;6;2;1;-;-;-;-;-;24
"130120 Coari";8;3;3;13;77;6;1;4;26;1;17;6;5;-;-;-;9;5;184
"130130 Codajás";1;1;-;1;11;2;-;-;8;1;11;1;1;-;-;-;2;-;40
"130140 Eirunepé";4;2;-;5;23;1;-;-;9;3;6;-;3;-;-;-;-;4;60
"130150 Envira";-;-;-;3;10;-;-;-;8;1;4;-;1;-;-;-;-;2;29
"130160 Fonte Boa";1;-;-;-;17;-;-;-;6;-;7;1;1;-;-;-;-;-;33
"130165 Guajará";2;-;1;4;11;1;-;1;6;-;4;-;2;1;-;-;-;2;35
"130170 Humaitá";4;2;2;9;22;8;2;2;7;4;17;2;4;1;2;-;3;4;95
"130180 Ipixuna";-;-;-;2;8;-;-;-;3;-;2;-;-;-;-;-;-;-;15
"130185 Iranduba";12;3;5;8;52;8;3;1;16;4;26;3;5;1;1;-;2;1;151
"130190 Itacoatiara";15;6;3;16;75;11;1;2;19;5;30;2;10;-;-;-;3;5;203
"130195 Itamarati";-;-;-;-;4;-;-;-;2;-;2;-;-;-;-;-;-;1;9
"130200 Itapiranga";1;-;1;-;9;1;-;-;4;-;6;1;1;-;-;-;-;-;24
"130210 Japurá";-;-;-;-;9;-;-;-;4;-;3;-;-;-;-;-;-;-;16
"130220 Juruá";-;-;-;-;5;-;-;-;4;-;2;2;-;-;-;-;-;-;13
"130230 Jutaí";-;1;-;-;10;1;-;-;8;-;5;1;1;-;-;-;-;1;28
"130240 Lábrea";2;1;-;3;15;1;2;-;4;1;8;1;2;-;-;-;-;-;40
"130250 Manacapuru";18;8;5;20;51;12;5;1;17;4;21;2;10;2;-;-;9;7;192
"130255 Manaquiri";1;-;-;4;11;1;-;-;6;2;3;1;1;-;-;-;-;1;31
"130260 Manaus";339;204;162;565;1744;275;122;259;150;86;905;571;222;22;67;-;1028;64;6785
"130270 Manicoré";5;1;-;2;23;2;1;-;11;3;10;1;3;-;-;-;-;3;65
"130280 Maraã";1;1;-;2;7;2;-;-;4;-;2;-;-;-;-;-;-;1;20
"130290 Maués";8;2;-;5;36;6;1;1;17;3;13;1;3;-;1;-;-;1;98
"130300 Nhamundá";2;2;-;1;14;1;-;-;5;2;7;1;1;-;-;-;-;1;37
"130310 Nova Olinda do Norte";2;3;-;3;19;3;1;-;11;3;12;2;2;-;-;-;-;2;63
"130320 Novo Airão";-;-;-;1;7;2;-;-;4;-;4;-;-;-;-;-;-;-;18
"130330 Novo Aripuanã";2;-;-;1;10;1;-;-;5;1;4;1;1;-;-;-;-;-;26
"130340 Parintins";13;5;3;14;68;16;2;1;20;5;29;4;7;1;2;-;1;7;198
"130350 Pauini";1;1;-;3;9;2;-;-;4;1;4;-;-;-;-;-;-;-;25
"130353 Presidente Figueiredo";7;1;-;8;22;3;-;1;10;1;13;-;1;-;-;-;3;-;70
"130356 Rio Preto da Eva";15;7;-;12;32;4;-;-;9;3;9;1;12;1;-;-;1;5;111
"130360 Santa Isabel do Rio Negro";-;-;-;2;8;-;-;-;2;-;2;-;-;-;-;-;-;-;14
"130370 Santo Antônio do Içá";2;1;-;1;15;1;1;-;6;1;4;-;-;-;-;-;-;1;33
"130380 São Gabriel da Cachoeira";1;3;1;10;51;4;2;-;11;3;30;1;1;-;-;-;3;4;125
"130390 São Paulo de Olivença";3;2;-;1;22;1;-;-;11;1;5;1;2;-;-;-;-;1;50
"130395 São Sebastião do Uatumã";2;2;1;1;9;1;-;-;4;-;5;-;-;-;-;-;-;-;25
"130400 Silves";1;-;-;1;5;1;-;-;3;-;4;1;1;-;-;-;-;-;17
"130406 Tabatinga";7;9;-;31;68;6;1;5;8;4;21;2;4;-;-;-;3;3;172
"130410 Tapauá";1;-;-;5;10;1;-;-;4;1;7;-;1;-;-;-;-;-;30
"130420 Tefé";8;8;1;14;49;6;1;1;10;2;17;1;7;-;2;-;2;2;131
"130423 Tonantins";2;1;-;1;12;-;-;-;6;2;3;-;1;-;-;-;-;-;28
"130426 Uarini";1;-;-;-;8;1;-;-;2;1;3;-;1;-;-;-;-;-;17
"130430 Urucará";2;1;-;2;10;2;-;-;4;1;7;-;1;-;-;-;-;-;30
"130440 Urucurituba";1;1;-;1;7;1;-;-;6;2;4;-;-;-;-;-;-;-;23
"140005 Alto Alegre";2;-;-;2;23;3;-;1;8;1;13;1;2;1;-;-;1;1;59
"140002 Amajari";1;-;-;2;16;1;-;-;6;1;2;-;-;-;-;-;-;-;29
"140010 Boa Vista";87;89;18;250;313;117;30;27;46;47;169;46;88;6;11;-;168;94;1606
"140015 Bonfim";2;2;-;1;8;2;-;-;2;1;6;1;2;-;-;-;-;1;28
"140017 Cantá";-;1;-;-;9;1;-;-;3;-;2;-;-;-;-;-;-;-;16
"140020 Caracaraí";3;2;-;2;18;3;-;-;6;1;10;-;2;-;-;-;-;1;48
"140023 Caroebe";-;1;-;2;7;1;-;-;2;-;2;-;-;-;-;-;-;-;15
"140028 Iracema";1;-;-;3;9;1;-;-;2;1;6;-;1;-;-;-;-;1;25
"140030 Mucajaí";1;-;-;2;12;1;-;-;2;1;6;-;1;-;1;-;-;-;27
"140040 Normandia";-;3;-;2;23;-;-;-;3;-;4;-;-;-;-;-;-;-;35
"140045 Pacaraima";2;2;-;5;20;1;-;-;3;-;7;-;2;-;-;-;-;-;42
"140047 Rorainópolis";2;6;-;5;21;3;-;-;7;1;8;-;2;-;-;-;-;4;59
"140050 São João da Baliza";-;1;-;2;4;1;-;-;1;-;3;-;-;-;-;-;-;-;12
"140060 São Luiz";-;-;-;1;5;1;-;-;4;-;4;-;1;-;-;-;-;-;16
"140070 Uiramutã";-;2;-;3;25;-;-;-;3;-;9;-;-;-;-;-;-;-;42
"150010 Abaetetuba";8;2;-;23;52;3;1;2;8;4;33;12;7;2;-;-;14;14;185
"150013 Abel Figueiredo";-;-;-;2;5;1;1;-;1;1;2;1;-;-;-;-;-;1;15
"150020 Acará";1;1;-;5;17;1;-;-;6;-;5;1;1;-;-;-;-;2;40
"150030 Afuá";1;-;-;4;11;-;-;-;2;2;4;-;-;-;1;-;1;2;28
"150034 Água Azul do Norte";2;1;-;4;12;2;1;1;4;-;7;-;2;1;-;-;-;2;39
"150040 Alenquer";1;2;-;7;16;5;1;-;4;1;5;1;3;-;1;-;1;-;48
"150050 Almeirim";1;-;-;13;20;4;-;-;5;-;5;2;1;-;-;-;2;1;54
"150060 Altamira";10;15;4;45;119;20;6;5;16;10;27;10;11;1;4;-;27;16;346
"150070 Anajás";1;-;-;1;7;1;-;-;3;1;1;-;-;-;-;-;-;1;16
"150080 Ananindeua";73;15;25;163;336;88;32;19;70;25;111;65;55;6;14;-;225;70;1392
"150085 Anapu";1;2;-;1;9;1;-;-;3;1;5;-;1;-;-;-;-;1;25
"150090 Augusto Corrêa";4;-;-;2;19;6;2;-;8;3;9;2;2;-;-;-;-;4;61
"150095 Aurora do Pará";3;1;-;3;11;1;-;-;2;1;4;1;1;1;-;-;1;2;32
"150100 Aveiro";-;-;-;1;9;-;-;-;5;-;-;-;-;-;-;-;-;-;15
"150110 Bagre";-;-;-;2;5;-;-;-;5;1;1;-;-;-;-;-;-;-;14
"150120 Baião";3;-;-;2;14;3;-;-;4;3;5;-;2;-;-;-;1;3;40
"150125 Bannach";2;-;-;3;5;2;-;-;2;-;3;-;1;-;-;-;-;2;20
"150130 Barcarena";7;4;1;27;44;14;8;7;8;4;34;14;7;-;4;-;20;11;214
"150140 Belém";374;267;71;790;1210;470;182;198;82;238;950;316;398;34;68;9;1200;358;7215
"150145 Belterra";-;-;-;-;15;1;-;1;3;1;2;-;-;-;1;-;-;-;24
"150150 Benevides";5;1;-;4;32;6;2;1;11;5;17;1;5;1;1;-;1;3;96
"150157 Bom Jesus do Tocantins";1;1;-;1;5;1;-;-;4;1;3;-;1;-;-;-;2;1;21
"150160 Bonito";2;-;-;1;12;2;1;-;3;1;2;-;1;-;-;-;-;2;27
"150170 Bragança";17;2;1;50;72;16;3;1;20;6;22;7;9;-;3;-;15;11;255
"150172 Brasil Novo";1;-;-;3;11;3;1;-;4;-;8;-;1;-;-;-;-;1;33
"150175 Brejo Grande do Araguaia";-;1;-;1;4;2;-;-;1;1;1;-;-;-;-;-;-;-;11
"150178 Breu Branco";1;-;-;8;24;2;-;-;10;1;6;2;2;1;-;-;2;2;61
"150180 Breves";7;2;2;29;58;6;2;2;9;5;4;10;4;-;1;-;13;7;161
"150190 Bujaru";-;-;-;2;10;1;-;-;4;1;6;1;-;-;-;-;1;1;27
"150200 Cachoeira do Arari";1;-;-;-;8;-;-;-;4;-;3;1;-;-;-;-;-;1;18
"150195 Cachoeira do Piriá";2;1;-;1;17;3;1;-;4;2;7;-;2;-;-;-;-;2;42
"150210 Cametá";12;3;3;10;42;2;2;1;6;6;10;2;3;-;-;-;4;2;108
"150215 Canaã dos Carajás";5;4;3;27;52;12;4;2;2;2;28;4;4;1;1;-;11;13;175
"150220 Capanema";9;3;1;25;40;10;1;1;10;2;21;3;4;-;1;-;3;6;140
"150230 Capitão Poço";1;-;-;5;11;2;1;-;4;1;8;1;1;-;-;-;-;1;36
"150240 Castanhal";15;12;4;43;79;31;12;2;23;7;54;8;16;-;3;-;18;16;343
"150250 Chaves";-;-;-;1;7;-;-;-;6;-;2;1;-;-;-;-;-;1;18
"150260 Colares";1;-;-;1;8;1;-;-;5;1;2;1;1;-;1;-;-;2;24
"150270 Conceição do Araguaia";6;3;2;18;45;9;1;3;5;2;17;2;7;1;1;-;11;10;143
"150275 Concórdia do Pará";1;-;-;3;8;1;-;1;4;1;8;1;1;-;-;-;2;3;34
"150276 Cumaru do Norte";1;-;-;2;13;1;-;-;3;-;3;-;-;-;-;-;-;1;24
"150277 Curionópolis";2;1;1;1;11;2;-;-;5;2;5;6;1;-;-;-;2;2;41
"150280 Curralinho";-;-;-;2;8;-;1;-;4;1;1;-;1;-;-;-;-;4;22
"150285 Curuá";-;-;-;-;11;1;-;-;4;1;-;1;-;-;-;-;-;1;19
"150290 Curuçá";2;1;-;5;16;4;-;-;10;1;6;-;1;-;-;-;-;2;48
"150293 Dom Eliseu";2;1;-;7;21;3;1;-;6;2;19;1;1;1;1;-;4;3;73
"150295 Eldorado do Carajás";1;-;-;3;12;3;1;-;4;1;3;-;1;-;-;-;1;9;39
"150300 Faro";1;-;-;-;6;-;-;-;2;-;1;1;-;-;-;-;-;-;11
"150304 Floresta do Araguaia";1;1;-;1;6;1;-;-;4;1;4;1;-;-;-;-;1;4;25
"150307 Garrafão do Norte";1;1;-;2;11;-;-;-;1;1;2;-;-;-;-;-;1;1;21
"150309 Goianésia do Pará";1;-;-;3;13;1;1;1;6;1;4;2;1;-;-;-;1;1;36
"150310 Gurupá";-;-;-;1;7;1;-;-;3;-;4;-;-;-;-;-;-;1;17
"150320 Igarapé-Açu";4;-;-;6;18;3;1;1;7;3;9;1;1;-;-;-;2;1;57
"150330 Igarapé-Miri";4;2;-;5;6;6;1;-;8;2;4;-;5;-;-;-;-;4;47
"150340 Inhangapi";-;-;-;-;9;-;1;-;3;1;2;-;-;-;-;-;-;2;18
"150345 Ipixuna do Pará";1;1;-;4;17;2;1;-;7;1;5;-;1;-;-;-;2;1;43
"150350 Irituia";2;-;-;4;14;2;-;-;3;2;4;-;-;-;-;-;-;1;32
"150360 Itaituba";4;6;-;8;52;6;-;-;9;5;13;-;4;2;-;-;4;6;119
"150370 Itupiranga";1;-;-;11;17;5;-;-;4;1;8;1;1;-;-;-;1;1;51
"150375 Jacareacanga";1;2;1;8;25;-;-;-;1;-;4;-;-;-;-;-;-;1;43
"150380 Jacundá";1;3;-;5;21;3;-;-;5;1;5;-;2;-;-;-;-;1;47
"150390 Juruti";3;3;1;7;32;3;1;1;4;2;7;1;2;-;1;-;6;1;75
"150400 Limoeiro do Ajuru";2;-;-;-;9;-;-;-;3;-;2;2;1;-;-;-;-;-;19
"150405 Mãe do Rio";2;-;-;-;13;2;1;-;8;1;2;1;1;-;-;-;-;1;32
"150410 Magalhães Barata";1;-;-;-;4;1;-;-;2;1;1;1;-;-;-;-;-;-;11
"150420 Marabá";17;18;8;70;128;39;19;18;8;13;60;20;25;1;14;-;53;38;549
"150430 Maracanã";1;1;-;2;15;1;-;-;3;-;3;-;-;-;-;-;-;1;27
"150440 Marapanim";3;-;-;2;11;3;1;-;6;1;7;-;1;-;-;-;-;2;37
"150442 Marituba";23;6;2;22;56;12;1;3;11;5;29;2;9;1;1;-;14;9;206
"150445 Medicilândia";1;-;-;3;10;1;-;-;6;1;6;-;1;-;-;-;-;1;30
"150450 Melgaço";2;-;-;-;10;-;-;-;5;-;2;1;1;-;-;-;-;3;24
"150460 Mocajuba";2;-;-;3;11;1;-;-;5;-;7;1;1;-;-;-;1;-;32
"150470 Moju";2;2;-;3;18;2;2;-;2;2;9;1;3;-;-;-;-;3;49
"150475 Mojuí dos Campos";-;1;-;2;10;-;-;-;-;-;1;-;-;-;-;-;-;-;14
"150480 Monte Alegre";2;5;-;6;32;4;1;1;7;1;4;2;1;-;-;-;-;-;66
"150490 Muaná";3;-;-;1;11;1;1;-;6;1;2;2;1;-;-;-;-;-;29
"150495 Nova Esperança do Piriá";1;-;-;1;6;1;-;-;3;1;3;-;-;-;-;-;-;2;18
"150497 Nova Ipixuna";1;1;-;-;8;-;-;-;-;1;4;-;1;-;-;-;-;-;16
"150500 Nova Timboteua";2;1;-;-;-;2;-;-;5;1;3;-;1;-;-;-;-;1;16
"150503 Novo Progresso";3;3;2;5;28;3;-;-;7;1;7;2;1;-;-;-;-;-;62
"150506 Novo Repartimento";2;3;-;2;25;1;-;1;9;1;6;5;-;-;-;-;1;1;57
"150510 Óbidos";1;-;-;7;34;4;2;-;5;-;7;1;2;1;-;-;2;-;66
"150520 Oeiras do Pará";2;-;-;-;8;-;-;-;4;-;1;-;-;-;-;-;-;-;15
"150530 Oriximiná";2;3;7;22;35;6;1;4;7;3;9;4;3;-;-;-;2;2;110
"150540 Ourém";2;2;-;4;8;1;-;-;5;1;1;-;2;1;-;-;-;2;29
"150543 Ourilândia do Norte";1;2;-;9;15;3;1;-;8;2;16;-;2;-;1;-;-;6;66
"150548 Pacajá";1;2;-;2;13;1;-;-;6;1;3;-;1;-;-;-;-;2;32
"150549 Palestina do Pará";-;-;1;1;5;-;-;-;2;-;1;-;-;-;-;-;-;-;10
"150550 Paragominas";5;9;2;27;69;17;6;1;14;5;39;3;6;1;-;-;11;5;220
"150553 Parauapebas";9;19;8;76;120;36;8;8;13;15;105;15;14;1;3;-;47;31;528
"150555 Pau D'Arco";1;1;-;2;5;1;-;-;1;-;7;-;-;-;-;-;-;1;19
"150560 Peixe-Boi";1;-;-;1;3;-;-;-;1;-;5;-;1;-;-;-;-;1;13
"150563 Piçarra";-;2;-;2;8;1;-;1;4;1;5;-;1;-;-;-;-;1;26
"150565 Placas";1;1;-;-;4;1;-;-;1;-;2;-;-;-;-;-;1;2;13
"150570 Ponta de Pedras";1;-;-;5;9;-;-;-;4;1;2;-;-;-;-;-;-;2;24
"150580 Portel";2;2;-;5;19;2;1;-;8;1;6;-;2;-;-;-;-;4;52
"150590 Porto de Moz";1;-;-;2;10;1;1;-;5;1;2;-;1;-;-;-;-;2;26
"150600 Prainha";1;-;-;1;16;1;-;-;4;-;2;2;1;-;-;-;-;-;28
"150610 Primavera";1;-;-;2;5;1;-;-;4;1;6;-;1;-;-;-;-;1;22
"150611 Quatipuru";-;-;-;2;4;-;-;-;1;-;3;-;-;-;-;-;-;2;12
"150613 Redenção";13;9;3;13;68;15;6;3;6;4;20;5;7;-;-;-;23;19;214
"150616 Rio Maria";2;-;-;2;12;4;2;-;4;2;5;-;3;-;-;-;-;3;39
"150618 Rondon do Pará";1;1;2;3;22;2;-;-;3;1;12;1;2;-;-;-;1;3;54
"150619 Rurópolis";1;-;-;-;15;1;-;-;4;-;1;-;1;-;-;-;1;3;27
"150620 Salinópolis";5;2;-;16;22;1;1;2;3;2;12;5;-;-;-;-;1;4;76
"150630 Salvaterra";1;-;-;1;9;1;1;-;3;1;5;2;-;-;-;-;-;-;24
"150635 Santa Bárbara do Pará";-;-;-;2;10;-;-;-;4;1;8;-;-;-;-;-;-;1;26
"150640 Santa Cruz do Arari";-;-;-;-;6;-;-;-;2;1;1;-;-;-;-;-;-;-;10
"150650 Santa Izabel do Pará";15;1;-;8;31;4;1;-;9;6;30;1;10;2;-;-;3;8;129
"150655 Santa Luzia do Pará";1;-;-;1;9;1;-;-;4;1;7;-;1;-;-;-;-;-;25
"150658 Santa Maria das Barreiras";1;-;-;2;10;2;-;-;3;1;3;-;2;-;-;-;-;3;27
"150660 Santa Maria do Pará";1;-;-;4;10;1;-;-;4;1;5;3;1;-;-;-;-;-;30
"150670 Santana do Araguaia";4;3;1;6;18;6;1;-;6;-;6;1;2;-;-;-;1;7;62
"150680 Santarém";18;20;1;43;209;36;12;3;28;10;46;13;20;1;5;-;65;22;552
"150690 Santarém Novo";-;-;-;1;4;-;-;-;1;-;3;-;-;-;-;-;-;-;9
"150700 Santo Antônio do Tauá";3;-;-;2;12;1;-;-;6;-;8;1;2;1;-;-;-;2;38
"150710 São Caetano de Odivelas";1;1;-;3;8;-;-;-;3;1;5;-;-;-;-;-;-;1;23
"150715 São Domingos do Araguaia";1;-;-;1;11;2;-;-;2;-;3;-;1;-;-;-;-;3;24
"150720 São Domingos do Capim";2;1;-;2;11;2;-;-;7;-;4;-;1;-;-;-;-;3;33
