CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Ocupações de Nível Elementar e Unidade da Federação
Período:Dez/2017
"Ocupações de Nível Elementar";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
" AGENTE COMUNITÁRIO DE SAÚDE";3011;1686;7020;796;15402;859;3671;16047;7442;15683;6030;8628;15876;6143;4296;26208;32723;5199;17495;32341;12967;10636;11686;4600;5496;8991;1047;281979
"   Agente comunitário de saúde";3011;1686;7020;796;15402;859;3671;16047;7442;15683;6030;8628;15876;6143;4296;26208;32723;5199;17495;32341;12967;10636;11686;4600;5496;8991;1047;281979
" AGENTE DE SAÚDE PÚBLICA";375;140;329;81;842;129;414;726;204;255;316;259;586;410;242;1088;1740;375;1081;2555;904;621;796;637;310;920;119;16454
"   Agente de saúde pública agente de saneam";375;140;329;81;842;129;414;726;204;255;316;259;586;410;242;1088;1740;375;1081;2555;904;621;796;637;310;920;119;16454
" ATENDENTE DE ENFERMAGEM/AUX OPER SERV DIV E ASSEM";190;167;814;117;561;50;203;1218;429;1199;424;592;1171;517;281;1871;4130;1208;2244;8391;2262;1161;1334;651;545;997;527;33254
"   Atendente de consultório dentario";87;87;296;88;350;20;137;389;203;582;168;389;688;233;131;958;2655;755;1062;4367;1411;696;540;451;340;752;260;18095
"   Atendente de enfermagem atend berçario";20;23;416;11;107;19;45;704;213;231;101;106;236;239;98;298;252;117;821;1158;134;76;115;45;60;114;185;5944
"   Atendente de farmácia  balconista";83;57;102;18;104;11;21;125;13;386;155;97;247;45;52;615;1223;336;361;2866;717;389;679;155;145;131;82;9215
" PARTEIRA";-;-;76;-;43;2;-;2;-;20;14;6;43;40;13;4;1;-;1;-;-;2;7;-;-;-;-;274
"   Parteira leiga assistente de parto";-;-;76;-;43;2;-;2;-;20;14;6;43;40;13;4;1;-;1;-;-;2;7;-;-;-;-;274
" OUTRAS OCUPAÇÕES NÍVEL ELEMENTAR EM SAÚDE";-;-;2;-;-;-;-;5;7;3;-;2;1;1;-;-;8;1;24;11;1;2;14;3;5;4;7;101
"   Artesao modelador vidros";-;-;1;-;-;-;-;2;3;-;-;-;-;1;-;-;1;-;-;2;1;-;1;1;1;2;-;16
"   Gesseiro";-;-;1;-;-;-;-;3;4;3;-;2;1;-;-;-;7;1;24;9;-;2;13;2;4;2;7;85
"Total";3576;1993;8241;994;16848;1040;4288;17998;8082;17160;6784;9487;17677;7111;4832;29171;38602;6783;20845;43298;16134;12422;13837;5891;6356;10912;1700;332062
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
