CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Ocupações de Nível Elementar e Unidade da Federação
Período:Dez/2018
"Ocupações de Nível Elementar";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
" AGENTE COMUNITÁRIO DE SAÚDE";2922;1672;7129;837;15322;1061;3659;16067;7411;15516;5967;8624;15846;6161;4342;26040;33571;5127;16985;33252;13028;10312;11458;4849;5333;8912;1178;282581
"   Agente comunitário de saúde";2922;1672;7129;837;15322;1061;3659;16067;7411;15516;5967;8624;15846;6161;4342;26040;33571;5127;16985;33252;13028;10312;11458;4849;5333;8912;1178;282581
" AGENTE DE SAÚDE PÚBLICA";401;145;354;92;847;132;397;683;204;253;276;248;563;339;237;1052;1585;353;918;2448;859;606;794;629;453;879;73;15820
"   Agente de saúde pública agente de saneam";401;145;354;92;847;132;397;683;204;253;276;248;563;339;237;1052;1585;353;918;2448;859;606;794;629;453;879;73;15820
" ATENDENTE DE ENFERMAGEM/AUX OPER SERV DIV E ASSEM";186;175;855;127;624;73;205;1168;418;1347;446;611;1195;580;279;2079;4285;1520;2420;8605;2429;1216;1494;770;614;1089;504;35314
"   Atendente de consultório dentario";85;95;355;101;356;32;143;406;186;594;169;391;706;263;142;998;2633;786;1034;4380;1444;709;589;489;365;778;230;18459
"   Atendente de enfermagem atend berçario";21;24;380;9;125;28;37;606;218;257;102;98;235;231;78;313;237;192;964;1033;151;77;115;41;86;142;171;5971
"   Atendente de farmácia  balconista";80;56;120;17;143;13;25;156;14;496;175;122;254;86;59;768;1415;542;422;3192;834;430;790;240;163;169;103;10884
" PARTEIRA";-;-;75;-;41;2;-;2;-;20;13;4;40;31;11;3;1;-;1;1;-;2;5;-;-;-;-;252
"   Parteira leiga assistente de parto";-;-;75;-;41;2;-;2;-;20;13;4;40;31;11;3;1;-;1;1;-;2;5;-;-;-;-;252
" OUTRAS OCUPAÇÕES NÍVEL ELEMENTAR EM SAÚDE";-;-;1;-;-;-;-;5;6;3;-;1;1;1;-;-;6;2;28;7;1;2;15;3;5;4;6;97
"   Artesao modelador vidros";-;-;-;-;-;-;-;2;2;-;-;-;-;1;-;-;1;1;-;1;1;-;1;1;-;2;-;13
"   Gesseiro";-;-;1;-;-;-;-;3;4;3;-;1;1;-;-;-;5;1;28;6;-;2;14;2;5;2;6;84
"Total";3509;1992;8414;1056;16834;1268;4261;17925;8039;17139;6702;9488;17645;7112;4869;29174;39448;7002;20352;44313;16317;12138;13766;6251;6405;10884;1761;334064
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
