CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Ocupações de Nível Elementar e Unidade da Federação
Período:Dez/2015
"Ocupações de Nível Elementar";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
" AGENTE COMUNITÁRIO DE SAÚDE";3138;1684;7179;764;15718;1138;3656;16075;7512;15400;6099;8577;15913;6068;4277;26355;32537;5737;16210;32702;13748;10905;11594;4615;5591;8710;1085;282987
"   Agente comunitário de saúde";3138;1684;7179;764;15718;1138;3656;16075;7512;15400;6099;8577;15913;6068;4277;26355;32537;5737;16210;32702;13748;10905;11594;4615;5591;8710;1085;282987
" AGENTE DE SAÚDE PÚBLICA";335;147;470;107;959;144;518;913;262;362;447;417;794;493;500;1403;2386;627;2278;4167;1045;891;902;743;716;1445;399;23870
"   Agente de saúde pública agente de saneam";335;147;470;107;959;144;518;913;262;362;447;417;794;493;500;1403;2386;627;2278;4167;1045;891;902;743;716;1445;399;23870
" ATENDENTE DE ENFERMAGEM/AUX OPER SERV DIV E ASSEM";156;169;866;105;490;47;222;1340;416;1113;438;532;1065;521;282;1675;3509;1045;2146;8184;2046;1095;1204;591;511;805;319;30892
"   Atendente de consultório dentario";76;86;306;64;319;19;144;339;193;596;199;349;644;210;123;956;2313;735;1203;4325;1381;673;494;431;350;651;114;17293
"   Atendente de enfermagem atend berçario";24;18;475;20;113;23;66;914;214;218;124;100;240;282;134;406;269;75;631;1341;135;81;148;51;74;66;188;6430
"   Atendente de farmácia  balconista";56;65;85;21;58;5;12;87;9;299;115;83;181;29;25;313;927;235;312;2518;530;341;562;109;87;88;17;7169
" PARTEIRA";-;1;87;-;78;34;-;4;-;26;20;12;62;67;21;6;1;-;1;-;-;1;-;-;-;-;-;421
"   Parteira leiga assistente de parto";-;1;87;-;78;34;-;4;-;26;20;12;62;67;21;6;1;-;1;-;-;1;-;-;-;-;-;421
" OUTRAS OCUPAÇÕES NÍVEL ELEMENTAR EM SAÚDE";-;-;2;1;-;-;-;5;9;3;1;4;1;1;-;2;8;1;33;9;3;2;15;3;6;4;4;117
"   Artesao modelador vidros";-;-;1;-;-;-;-;3;5;-;1;1;-;1;-;2;3;-;1;3;3;-;1;1;2;1;-;29
"   Gesseiro";-;-;1;1;-;-;-;2;4;3;-;3;1;-;-;-;5;1;32;6;-;2;14;2;4;3;4;88
"Total";3629;2001;8604;977;17245;1363;4396;18337;8199;16904;7005;9542;17835;7150;5080;29441;38441;7410;20668;45062;16842;12894;13715;5952;6824;10964;1807;338287
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
