CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Ocupações de Nível Elementar e Unidade da Federação
Período:Dez/2013
"Ocupações de Nível Elementar";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
" AGENTE COMUNITÁRIO DE SAÚDE";3192;1715;7221;746;15592;1198;3625;15946;7566;15417;5962;8614;15899;5979;4343;27001;32483;5869;16033;30721;13602;11172;10321;4650;5468;9465;1180;280980
"   Agente comunitário de saúde";3192;1715;7221;746;15592;1198;3625;15946;7566;15417;5962;8614;15899;5979;4343;27001;32483;5869;16033;30721;13602;11172;10321;4650;5468;9465;1180;280980
" AGENTE DE SAÚDE PÚBLICA";384;107;586;293;1346;240;569;2136;595;1027;1346;977;2739;1066;717;5121;5919;1103;2792;5709;1735;1179;1160;480;1259;1916;361;42862
"   Agente de saúde pública agente de saneam";384;107;586;293;1346;240;569;2136;595;1027;1346;977;2739;1066;717;5121;5919;1103;2792;5709;1735;1179;1160;480;1259;1916;361;42862
" ATENDENTE DE ENFERMAGEM/AUX OPER SERV DIV E ASSEM";128;163;863;107;461;54;196;1493;458;1030;447;527;1025;547;285;1708;3311;966;1799;7869;1929;905;814;509;481;730;313;29118
"   Atendente de consultório dentario";71;77;242;49;282;28;129;340;175;573;210;311;595;187;112;897;2251;671;1182;4195;1387;570;385;409;334;600;85;16347
"   Atendente de enfermagem atend berçario";33;25;590;27;128;25;61;1081;275;266;147;144;299;343;145;551;382;105;375;1692;145;90;157;36;87;59;223;7491
"   Atendente de farmácia  balconista";24;61;31;31;51;1;6;72;8;191;90;72;131;17;28;260;678;190;242;1982;397;245;272;64;60;71;5;5280
" PARTEIRA";-;1;62;-;77;34;-;10;-;28;24;18;77;74;25;9;2;-;1;-;-;1;-;-;-;-;-;443
"   Parteira leiga assistente de parto";-;1;62;-;77;34;-;10;-;28;24;18;77;74;25;9;2;-;1;-;-;1;-;-;-;-;-;443
" OUTRAS OCUPAÇÕES NÍVEL ELEMENTAR EM SAÚDE";-;1;1;-;-;-;-;8;12;2;1;4;1;1;3;2;8;1;31;13;4;5;15;2;9;5;15;144
"   Artesao modelador vidros";-;-;1;-;-;-;-;6;8;1;1;1;-;1;3;2;2;-;1;6;4;4;2;1;2;3;-;49
"   Gesseiro";-;1;-;-;-;-;-;2;4;1;-;3;1;-;-;-;6;1;30;7;-;1;13;1;7;2;15;95
"Total";3704;1987;8733;1146;17476;1526;4390;19593;8631;17504;7780;10140;19741;7667;5373;33841;41723;7939;20656;44312;17270;13262;12310;5641;7217;12116;1869;353547
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
