CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Ocupações de Nível Elementar e Unidade da Federação
Período:Dez/2010
"Ocupações de Nível Elementar";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
" AGENTE COMUNITÁRIO DE SAÚDE";3362;1535;7029;779;14792;1279;3632;15710;7153;15047;5597;8258;15341;5847;4148;26810;30815;5816;13080;27821;13343;11268;9168;4323;5328;9337;1175;267793
"   Agente comunitário de saúde";3362;1535;7029;779;14792;1279;3632;15710;7153;15047;5597;8258;15341;5847;4148;26810;30815;5816;13080;27821;13343;11268;9168;4323;5328;9337;1175;267793
" AGENTE DE SAÚDE PÚBLICA";274;153;552;122;1059;74;381;1706;452;576;1012;466;2099;980;585;3497;4664;1038;1109;4885;1508;1067;957;462;917;1278;372;32245
"   Agente de saúde pública agente de saneam";274;101;487;88;1053;74;381;1662;452;574;1012;466;2055;928;584;3440;4662;1038;1096;4876;1493;1067;917;353;912;1278;372;31695
"   Agente indigena de saneamento";-;5;14;14;2;-;-;14;-;1;-;-;8;14;-;4;-;-;-;2;2;-;11;19;3;-;-;113
"   Agente indigena de saúde";-;47;51;20;4;-;-;30;-;1;-;-;36;38;1;53;2;-;13;7;13;-;29;90;2;-;-;437
" ATENDENTE DE ENFERMAGEM/AUX OPER SERV DIV E ASSEM";113;152;901;105;383;44;250;1531;451;733;429;440;834;610;290;1675;2783;707;1434;6752;1637;749;511;377;358;489;336;25074
"   Atendente de consultório dentario";57;61;200;36;200;9;115;248;106;353;209;217;395;117;78;710;1899;492;854;3638;1297;543;202;300;211;397;71;13015
"   Atendente de enfermagem atend berçario";51;65;688;47;171;35;134;1243;341;298;187;186;400;487;197;822;512;131;482;2096;218;129;200;50;118;72;260;9620
"   Atendente de farmácia  balconista";5;26;13;22;12;-;1;40;4;82;33;37;39;6;15;143;372;84;98;1018;122;77;109;27;29;20;5;2439
" PARTEIRA";-;7;45;-;105;35;-;75;-;31;36;25;115;86;38;17;2;-;1;-;1;1;-;-;-;-;-;620
"   Parteira leiga assistente de parto";-;7;45;-;105;35;-;75;-;31;36;25;115;86;38;17;2;-;1;-;1;1;-;-;-;-;-;620
" OUTRAS OCUPAÇÕES NÍVEL ELEMENTAR EM SAÚDE";1;1;16;-;51;-;-;78;18;47;19;83;128;3;113;138;376;7;437;1046;65;23;65;105;250;40;7;3117
"   Artesao modelador vidros";-;-;3;-;1;-;-;6;13;3;2;6;-;2;8;5;6;-;3;10;7;4;3;1;7;4;-;94
"   Cuidador em saúde";1;1;13;-;50;-;-;72;2;44;17;77;127;1;105;133;369;7;404;1027;58;18;55;104;239;34;1;2959
"   Gesseiro";-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;1;-;30;9;-;1;7;-;4;2;6;64
"Total";3750;1848;8543;1006;16390;1432;4263;19100;8074;16434;7093;9272;18517;7526;5174;32137;38640;7568;16061;40504;16554;13108;10701;5267;6853;11144;1890;328849
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
