CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Ocupações de Nível Elementar e Unidade da Federação
Período:Dez/2011
"Ocupações de Nível Elementar";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
" AGENTE COMUNITÁRIO DE SAÚDE";3289;1534;7149;754;14827;1279;3616;15817;7285;14963;5650;8380;15572;5940;4135;26904;31417;5593;14741;29373;13311;11069;9427;4439;5336;9383;1304;272487
"   Agente comunitário de saúde";3289;1534;7149;754;14827;1279;3616;15817;7285;14963;5650;8380;15572;5940;4135;26904;31417;5593;14741;29373;13311;11069;9427;4439;5336;9383;1304;272487
" AGENTE DE SAÚDE PÚBLICA";330;104;518;139;1248;93;410;1798;482;745;1166;849;2261;1037;652;3965;4872;1042;1481;5300;1715;1066;963;385;1191;1420;414;35646
"   Agente de saúde pública agente de saneam";330;104;518;139;1248;93;410;1798;482;745;1166;849;2261;1037;652;3965;4872;1042;1481;5300;1715;1066;963;385;1191;1420;414;35646
" ATENDENTE DE ENFERMAGEM/AUX OPER SERV DIV E ASSEM";113;140;819;106;369;47;216;1476;425;802;430;461;826;521;268;1600;2843;744;1503;6794;1674;777;555;394;366;510;333;25112
"   Atendente de consultório dentario";57;59;198;41;222;17;115;288;118;418;214;248;447;133;89;718;1964;524;960;3692;1303;538;250;318;230;412;74;13647
"   Atendente de enfermagem atend berçario";37;45;608;31;131;30;99;1141;303;262;169;167;321;378;159;706;432;114;417;1832;184;114;165;41;99;61;254;8300
"   Atendente de farmácia  balconista";19;36;13;34;16;-;2;47;4;122;47;46;58;10;20;176;447;106;126;1270;187;125;140;35;37;37;5;3165
" PARTEIRA";-;6;33;-;89;34;-;33;-;30;33;20;103;86;38;11;2;-;1;-;-;1;-;-;-;-;-;520
"   Parteira leiga assistente de parto";-;6;33;-;89;34;-;33;-;30;33;20;103;86;38;11;2;-;1;-;-;1;-;-;-;-;-;520
" OUTRAS OCUPAÇÕES NÍVEL ELEMENTAR EM SAÚDE";-;-;3;-;4;-;-;8;24;2;4;4;1;4;8;4;7;-;37;18;9;6;11;2;15;8;14;193
"   Artesao modelador vidros";-;-;3;-;4;-;-;8;20;2;4;4;-;4;8;4;6;-;3;10;9;5;2;1;10;7;-;114
"   Gesseiro";-;-;-;-;-;-;-;-;4;-;-;-;1;-;-;-;1;-;34;8;-;1;9;1;5;1;14;79
"Total";3732;1784;8522;999;16537;1453;4242;19132;8216;16542;7283;9714;18763;7588;5101;32484;39141;7379;17763;41485;16709;12919;10956;5220;6908;11321;2065;333958
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
