CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Ocupações de Nível Elementar e Unidade da Federação
Período:Dez/2012
"Ocupações de Nível Elementar";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
" AGENTE COMUNITÁRIO DE SAÚDE";3337;1688;7133;816;15488;1226;3620;15993;7404;15239;5844;8614;15832;6011;4233;27137;32420;5946;16231;30726;13848;11210;9891;4514;5456;9479;1164;280500
"   Agente comunitário de saúde";3337;1688;7133;816;15488;1226;3620;15993;7404;15239;5844;8614;15832;6011;4233;27137;32420;5946;16231;30726;13848;11210;9891;4514;5456;9479;1164;280500
" AGENTE DE SAÚDE PÚBLICA";351;103;566;335;1350;235;422;1938;545;853;1182;887;2526;1082;684;4505;5373;1112;2506;5710;1764;1135;1024;448;1229;1597;343;39805
"   Agente de saúde pública agente de saneam";351;103;566;335;1350;235;422;1938;545;853;1182;887;2526;1082;684;4505;5373;1112;2506;5710;1764;1135;1024;448;1229;1597;343;39805
" ATENDENTE DE ENFERMAGEM/AUX OPER SERV DIV E ASSEM";123;139;870;103;435;50;198;1510;426;869;452;509;923;501;274;1633;3063;874;1624;7288;1839;842;693;445;417;569;340;27009
"   Atendente de consultório dentario";69;68;232;45;254;22;115;307;131;479;230;289;515;134;95;790;2100;629;1064;3956;1361;556;331;355;271;457;100;14955
"   Atendente de enfermagem atend berçario";35;29;615;28;130;28;80;1146;291;265;159;168;320;353;154;651;412;102;361;1728;170;101;166;39;97;63;235;7926
"   Atendente de farmácia  balconista";19;42;23;30;51;-;3;57;4;125;63;52;88;14;25;192;551;143;199;1604;308;185;196;51;49;49;5;4128
" PARTEIRA";-;3;32;-;74;34;-;12;1;32;29;23;87;82;32;10;2;-;1;-;-;1;-;-;-;-;-;455
"   Parteira leiga assistente de parto";-;3;32;-;74;34;-;12;1;32;29;23;87;82;32;10;2;-;1;-;-;1;-;-;-;-;-;455
" OUTRAS OCUPAÇÕES NÍVEL ELEMENTAR EM SAÚDE";-;-;3;-;4;-;-;8;21;2;2;3;1;2;8;4;10;1;36;16;9;5;12;2;13;7;15;184
"   Artesao modelador vidros";-;-;3;-;4;-;-;7;17;1;2;3;-;2;8;4;4;-;2;9;9;4;2;1;6;6;-;94
"   Gesseiro";-;-;-;-;-;-;-;1;4;1;-;-;1;-;-;-;6;1;34;7;-;1;10;1;7;1;15;90
"Total";3811;1933;8604;1254;17351;1545;4240;19461;8397;16995;7509;10036;19369;7678;5231;33289;40868;7933;20398;43740;17460;13193;11620;5409;7115;11652;1862;347953
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
