CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Ocupações de Nível Elementar e Unidade da Federação
Período:Dez/2019
"Ocupações de Nível Elementar";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
" AGENTE COMUNITÁRIO DE SAÚDE";2875;1578;7120;860;15659;1068;3660;16455;7447;15481;6036;8635;15839;6111;4351;25934;33710;5174;15768;33554;12796;10059;11147;4848;5219;8803;1020;281207
"   Agente comunitário de saúde";2875;1578;7120;860;15659;1068;3660;16455;7447;15481;6036;8635;15839;6111;4351;25934;33710;5174;15768;33554;12796;10059;11147;4848;5219;8803;1020;281207
" AGENTE DE SAÚDE PÚBLICA";435;140;316;86;810;140;386;594;180;261;271;232;528;319;235;982;1593;308;955;2334;821;575;744;421;566;859;68;15159
"   Agente de saúde pública agente de saneam";435;140;316;86;810;140;386;594;180;261;271;232;528;319;235;982;1593;308;955;2334;821;575;744;421;566;859;68;15159
" ATENDENTE DE ENFERMAGEM/AUX OPER SERV DIV E ASSEM";215;185;833;119;679;75;221;1192;380;1448;463;603;1210;543;290;2270;4616;1695;2502;9169;2603;1265;1638;806;672;1175;520;37387
"   Atendente de consultório dentario";84;98;375;96;369;31;150;407;175;608;169;381;710;256;141;1015;2732;820;1018;4480;1450;708;634;493;367;816;235;18818
"   Atendente de enfermagem atend berçario";28;21;342;7;99;29;41;578;191;332;94;89;231;201;75;404;224;208;1048;993;178;86;103;45;91;158;186;6082
"   Atendente de farmácia  balconista";103;66;116;16;211;15;30;207;14;508;200;133;269;86;74;851;1660;667;436;3696;975;471;901;268;214;201;99;12487
" PARTEIRA";-;-;65;-;19;2;-;2;-;18;12;2;30;26;9;3;-;-;1;1;-;-;6;-;-;-;-;196
"   Parteira leiga assistente de parto";-;-;65;-;19;2;-;2;-;18;12;2;30;26;9;3;-;-;1;1;-;-;6;-;-;-;-;196
" OUTRAS OCUPAÇÕES NÍVEL ELEMENTAR EM SAÚDE";-;-;-;-;-;-;-;4;7;4;-;1;1;1;-;-;6;2;25;9;1;1;13;2;9;2;8;96
"   Artesao modelador vidros";-;-;-;-;-;-;-;2;2;-;-;-;-;1;-;-;1;1;-;2;1;-;1;-;-;1;-;12
"   Gesseiro";-;-;-;-;-;-;-;2;5;4;-;1;1;-;-;-;5;1;25;7;-;1;12;2;9;1;8;84
"Total";3525;1903;8334;1065;17167;1285;4267;18247;8014;17212;6782;9473;17608;7000;4885;29189;39925;7179;19251;45067;16221;11900;13548;6077;6466;10839;1616;334045
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
